ano,nr_convenio,data_assinatura,situacao,concedente,objeto,valor_repasse,valor_total,valor_desembolsado,vigencia_inicio,vigencia_fim
2024,972496,30/12/2024,Em execução,,,200000,227648,200000.00,30/12/2024,19/10/2026
2024,972981,31/12/2024,Em execução,,,"1831651,2","2096252,28",1144241.10,31/12/2024,14/01/2027
2025,976405,24/11/2025,Em execução,,,490000,490000,490000.00,24/11/2025,24/04/2027
2025,977337,31/07/2025,Em execução,,,384205,390005,0.00,31/07/2025,31/07/2028
2025,979521,17/12/2025,Em execução,,,784000,784000,0.00,17/12/2025,17/06/2027
2025,980203,07/11/2025,Em execução,,,1910000,1940000,0.00,07/11/2025,30/09/2028
2025,981766,13/11/2025,Em execução,,,400000,400000,400000.00,13/11/2025,17/12/2026
2025,984377,28/11/2025,Em execução,,,818160,830760,0.00,28/11/2025,30/09/2028
2025,985225,23/12/2025,Em execução,,,250000,250000,250000.00,23/12/2025,23/12/2026
2025,986451,23/12/2025,Em execução,,,294000,298500,0.00,23/12/2025,23/12/2028
2025,988862,19/12/2025,Em execução,,,499896,499896,0.00,19/12/2025,12/06/2027
2025,990648,29/12/2025,Em execução,,,384000,440000,375182.50,29/12/2025,22/06/2027
2025,990661,29/12/2025,Em execução,,,358785,358785,0.00,29/12/2025,22/06/2027
