nr_convenio,ano_convenio,situacao,data_assinatura,vigencia_inicio,vigencia_fim,nr_processo,concedente,objeto,valor_global,valor_repasse,valor_desembolsado,valor_empenhado_conv,tem_emenda,qtd_emendas,parlamentares,valor_emenda_total,qtd_empenhos,valor_empenho_total,anos_empenho
888738,2019,Prestação de Contas Concluída,11/12/2019,11/12/2019,08/09/2022,25000187209201918,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,500000,500000,493360,0,sim,1,JEFFERSON CAMPOS,500000.00,1,0.00,2019
888947,2019,Prestação de Contas Concluída,19/12/2019,19/12/2019,19/12/2023,432032019,MINISTERIO DAS CIDADES,Implantação de área de lazer no Jardim Azaléia.,"524050,21",477500,477500,477500,nao,0,,,1,477500.00,2019
890352,2019,Prestação de Contas Concluída,19/12/2019,19/12/2019,19/01/2024,21782019,MINISTERIO DO ESPORTE,Reforma e Modernização de Infraestrutura Esportiva no Centro Esportivo “Francisco Lisboa” – Maria Eugenia.,"320876,64","317667,87","317667,87","317667,87",sim,1,ORLANDO SILVA,317667.87,1,317667.87,2019
891046,2019,Em execução,30/12/2019,30/12/2019,30/06/2027,526052019,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,2493792,2493792,2493792,"1750392,6",sim,1,FLAVINHO,2493792.00,1,1750392.60,2019
891572,2019,Prestação de Contas Concluída,19/12/2019,19/12/2019,17/05/2024,41372019,MINISTERIO DAS CIDADES,"Recapeamento asfáltico na Rua Gregório Ramos dos Santos, no Bairro Jardim Santa Cecília, no município de Sorocaba.","577206,97",382000,382000,382000,sim,1,JEFFERSON CAMPOS,382000.00,1,382000.00,2019
891868,2019,Convênio Anulado,26/12/2019,26/12/2019,16/11/2025,08020002157201961,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,Promover o Programa de Capacitação de Defesa Pessoal para Mulheres no Município de Sorocaba - SP.,149800,147292,,0,sim,1,JEFFERSON CAMPOS,147292.00,1,0.00,2019
897185,2019,Prestação de Contas Concluída,31/12/2019,31/12/2019,31/12/2023,551802019,MINISTERIO DAS CIDADES,Recuperação asfáltica no Bairro Parque São Bento.,"1888617,98","1869731,8","1869731,8","1869731,8",nao,0,,,1,1869731.80,2019
897875,2020,Prestação de Contas em Complementação,12/11/2020,12/11/2020,23/07/2022,25000048377202022,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,100264,100000,"82087,29",0,sim,1,RENATA ABREU,100000.00,1,0.00,2020
898226,2020,Prestação de Contas em Análise,12/11/2020,12/11/2020,27/08/2022,25000053178202036,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,500811,500000,"478763,81",0,sim,1,GUILHERME DERRITE,500000.00,1,0.00,2020
898735,2020,Prestação de Contas Concluída,09/12/2020,09/12/2020,14/10/2022,25000062237202067,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,999648,999648,832534,0,sim,2,EDUARDO BOLSONARO; VITOR LIPPI,999648.00,2,0.00,2020
899203,2020,Prestação de Contas Concluída,03/08/2020,03/08/2020,15/05/2024,0020832020,MINISTERIO DO ESPORTE,"Reforma do gramado do estádio municipal “Walter Ribeiro”, em Sorocaba/SP","723484,85",716250,716250,716250,sim,1,JEFFERSON CAMPOS,716250.00,1,716250.00,2020
900810,2020,Prestação de Contas Concluída,11/12/2020,11/12/2020,06/06/2022,25000069825202021,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,250000,250000,242550,0,sim,1,ALEXANDRE LEITE,250000.00,1,0.00,2020
904903,2020,Prestação de Contas Comprovada em Análise,15/12/2020,15/12/2020,15/11/2024,08020002376202084,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,Modernizar o canil da Guarda Municipal de Sorocaba por meio da aquisição de viaturas caracterizadas,343000,300000,"227308,54","227308,54",sim,1,GUILHERME DERRITE,300000.00,1,227308.54,2020
905270,2020,Prestação de Contas Concluída,30/12/2020,30/12/2020,30/06/2024,18584,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,500000,500000,500000,500000,sim,1,GUILHERME DERRITE,500000.00,1,500000.00,2020
905321,2020,Em execução,22/12/2020,22/12/2020,22/12/2026,19457,MINISTERIO DA SAUDE,CONSTRUÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,"16747633,54",8000000,4992000,4551200,sim,1,VITOR LIPPI,8000000.00,1,4551200.00,2020
916721,2021,Prestação de Contas em Complementação,10/11/2021,10/11/2021,22/12/2023,25000127719202151,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA ATENÇÃO ESPECIALIZADA EM SAÚDE,300184,300000,"289084,69",0,sim,1,GILBERTO NASCIMENTO,300000.00,1,0.00,2021
916722,2021,Prestação de Contas enviada para Análise,10/11/2021,10/11/2021,25/05/2024,25000127720202185,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA ATENÇÃO ESPECIALIZADA EM SAÚDE,300449,300000,"252322,59",0,sim,3,CEZINHA DE MADUREIRA; PAULO TEIXEIRA; RENATA ABREU,300000.00,3,0.00,2021
917589,2021,Prestação de Contas Concluída,14/12/2021,14/12/2021,14/12/2024,456592021,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,604000,599450,599450,599450,sim,2,GUIGA PEIXOTO; JEFFERSON CAMPOS,599450.00,2,599450.00,2021
917658,2021,Em execução,14/12/2021,14/12/2021,14/12/2026,459982021,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,"1014773,34",1000000,1000000,1000000,sim,1,VITOR LIPPI,1000000.00,1,1000000.00,2021
917855,2021,Em execução,23/11/2021,23/11/2021,23/11/2026,374052021,MINISTÉRIO DA INTEGRAÇÃO E DO DESENVOLVIMENTO REGIONAL,Elaboração de Projetos e Construção de Centro de Exposição para Produtores.,"2079537,17",1441714,"72085,7","1369628,3",nao,0,,,2,1369628.30,2021
917857,2021,Em execução,23/11/2021,23/11/2021,01/10/2026,398182021,MINISTERIO DAS CIDADES,REFORMA E REVITALIZAÇÃO DO PARQUE DAS ÁGUAS EM SOROCABA,"1165310,06","1153656,95","1023179,1","1023179,1",nao,0,,,1,1023179.10,2021
917891,2021,Em execução,23/11/2021,23/11/2021,23/11/2026,248702021,MINISTERIO DAS CIDADES,Recapeamento asfáltico em Ruas do Município de Sorocaba - Vila Gabriel e Vila Odim Antão.,577324,481104,,481104,sim,1,BRUNA FURLAN,481104.00,1,481104.00,2021
918124,2021,Convênio Anulado,26/11/2021,26/11/2021,26/11/2024,241332021,MINISTERIO DA CULTURA,"Realizar reforma do Parque dos Espanhóis, incluindo palco principal e salão com palco.","242606,59","238856,59",,0,sim,1,GUIGA PEIXOTO,238856.59,1,0.00,2021
918652,2021,Prestação de Contas enviada para Análise,27/12/2021,27/12/2021,15/05/2024,21000094610202179,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,"Apoio a pequena producao agropecuaria por meio do estimulo a producao e promocao da agregacao de valor e seus produtos, melhorando a renda e a qualidade de vida dos produtores.",100000,100000,100000,100000,sim,1,VITOR LIPPI,100000.00,1,100000.00,2021
918692,2021,Prestação de Contas Concluída,10/12/2021,10/12/2021,16/08/2023,72031007359202194,MINISTERIO DA CULTURA,"Realizar oficinas para jovens com foco no desenvolvimento cultural, em Sorocaba/SP.",150000,150000,150000,150000,sim,1,ARLINDO CHINAGLIA,150000.00,1,150000.00,2021
919361,2021,Convênio Anulado,31/12/2021,31/12/2021,30/04/2023,71000084121202187,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",Implementação de hortas pedagógicas e comunitárias nas escolas e em comunidades rurais no município de Sorocaba/SP.,2508246,2500000,,0,nao,0,,,1,0.00,2021
919848,2021,Prestação de Contas Concluída,21/12/2021,30/12/2021,30/09/2025,01531000227202152,FUNDACAO NACIONAL DE ARTES,Projeto Cultura nos Bairros,459000,450000,450000,450000,sim,1,GUIGA PEIXOTO,450000.00,1,450000.00,2021
920115,2021,Em execução,31/12/2021,31/12/2021,31/12/2026,330052021,MINISTERIO DAS CIDADES,"Recapeamento asfáltico em vias do município de Sorocaba/SP – Jardim Alvorada, Vila Fiore e Vila Olímpia","744816,51",674903,,674903,nao,0,,,1,674903.00,2021
921287,2021,Prestação de Contas Concluída,22/12/2021,22/12/2021,24/03/2023,25000179340202126,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA ATENÇÃO ESPECIALIZADA EM SAÚDE,630180,626923,"583095,69",0,sim,1,ADRIANA VENTURA,626923.00,2,0.00,2021
922287,2021,Em execução,31/12/2021,31/12/2021,31/12/2026,329082021,MINISTERIO DAS CIDADES,Recapeamento asfáltico em vias do municí­pio de Sorocaba/SP - Jardim Andréa Pilungo e Via São Jorge,"331998,98",238856,,238856,nao,0,,,1,238856.00,2021
930518,2022,Convênio Anulado,19/10/2022,19/10/2022,19/08/2024,71000010762202286,MINISTERIO DO ESPORTE,Aquisição e Instalação de Brinquedos Adaptados no município de Sorocaba/SP,"109313,35",100000,,0,sim,1,GENERAL PETERNELLI,100000.00,1,0.00,2022
930554,2022,Convênio Anulado,31/10/2022,31/10/2022,30/09/2024,71000049712202299,MINISTERIO DO ESPORTE,Aquisição e instalação de brinquedos adaptados no Município de Sorocaba/SP,"109313,35",100000,,0,sim,1,RELATOR GERAL,100000.00,1,0.00,2022
930615,2022,Em execução,14/09/2022,14/09/2022,14/09/2026,71000039469202209,MINISTERIO DO ESPORTE,Modernização de Ginásio de Esportes no Município de Sorocaba/SP.,"782009,1",477500,,477500,sim,1,RELATOR GERAL,477500.00,1,477500.00,2022
934315,2022,Em execução,27/10/2022,27/10/2022,27/10/2026,227702022,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,324392,324392,324392,324392,sim,1,JEFFERSON CAMPOS,324392.00,1,324392.00,2022
936178,2022,Em execução,24/11/2022,24/11/2022,24/11/2026,257512022,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,"1681580,9",1399008,1399008,1399008,sim,1,SAMIA BOMFIM,1399008.00,1,1399008.00,2022
938545,2022,Em execução,31/12/2022,31/12/2022,31/12/2027,71000101313202246,MINISTERIO DO ESPORTE,REFORMA E AMPLIAÇÃO DO CENTRO ESPORTIVO NO MUNICIPIO DE SOROCABA/SP,"6289957,1",5252500,,5252500,nao,0,,,1,5252500.00,2022
939482,2022,Em execução,31/12/2022,31/12/2022,31/12/2026,274982022,MINISTERIO DAS CIDADES,Recapeamento asfáltico em vias do município de Sorocaba/SP.,"485963,64",481104,481104,481104,nao,0,,,1,481104.00,2022
939921,2022,Em execução,31/12/2022,31/12/2022,31/12/2026,250032022,MINISTERIO DAS CIDADES,"Pavimentação asfáltica da estrada Miguel Clemente, Rua Antônio Bortoli Neto e Rua Manoel Peres Collaço, bairro Caputera, todas as intervenções estão dentro do perímetro urbano de Sorocaba.","3987672,73",3947796,"4737,36",3947796,nao,0,,,1,3947796.00,2022
939968,2022,Em execução,31/12/2022,31/12/2022,31/12/2026,272202022,MINISTERIO DAS CIDADES,Implantação de calçadas no município de Sorocaba/SP.,"969716,16",960019,"758675,57",960019,nao,0,,,1,960019.00,2022
940002,2022,Em execução,31/12/2022,31/12/2022,31/12/2026,271562022,MINISTERIO DAS CIDADES,Recapeamento asfáltico em vias do município de Sorocaba/SP.,"2608943,43",2582854,"457775,86",0,nao,0,,,1,0.00,2022
940878,2023,Em execução,16/06/2023,16/06/2023,16/06/2026,71000029273202389,MINISTERIO DO ESPORTE,Ampliação e Reforma de Pista de Skate no Município de Sorocaba/SP,"361732,83",286500,,286500,sim,1,ALEXANDRE LEITE,286500.00,1,286500.00,2023
941307,2023,Prestação de Contas enviada para Análise,30/11/2023,30/11/2023,21/08/2025,01400006127202397,MINISTERIO DA CULTURA,"Realizar oficinas, voltadas para a promoção da Diversidade Cultural com foco no desenvolvimento cultural, para jovens que residem em Sorocaba/SP.",193367,193367,193367,193367,sim,1,ARLINDO CHINAGLIA,193367.00,1,193367.00,2023
945143,2023,Em execução,30/12/2023,30/12/2023,30/12/2026,498772023,MINISTERIO DAS CIDADES,Recapeamento asfáltico em vias do bairro Parque São Bento do Município de Sorocaba/SP.,"996734,41",960019,,960019,nao,0,,,1,960019.00,2023
946446,2023,Prestação de Contas enviada para Análise,14/11/2023,14/11/2023,25/12/2025,25000124678202311,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,299994,299994,254302,299994,sim,1,CELSO RUSSOMANNO,299994.00,1,299994.00,2023
946566,2023,Em execução,14/11/2023,14/11/2023,09/04/2027,25000124546202381,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,1475000,1300000,1300000,1300000,sim,1,VITOR LIPPI,1300000.00,1,1300000.00,2023
949447,2023,Em execução,30/12/2023,30/12/2023,30/12/2027,550662023,MINISTERIO DAS CIDADES,Pavimentação asfáltica em vias do município de Sorocaba/SP,"8737695,29",8617337,"1723467,4",8617337,sim,1,COM. DESENV REGIONAL E TURISMO,8617337.00,1,8617337.00,2023
949470,2023,Em execução,22/12/2023,22/12/2023,30/06/2026,01400022722202370,MINISTERIO DA CULTURA,"Oferecer oficinas de formação cultural, incluindo musicalização, flauta doce, canto coral e teoria musical para crianças e jovens de Sorocaba-SP.",299500,287500,287500,287500,nao,0,,,3,287500.00,2023; 2025
949529,2023,Prestação de Contas enviada para Análise,21/12/2023,21/12/2023,26/12/2025,25000155340202301,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,499199,499199,"401266,4",499199,sim,1,VITOR LIPPI,499199.00,1,499199.00,2023
949531,2023,Em execução,13/12/2023,13/12/2023,16/10/2026,25000163047202317,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,499726,499726,358000,499726,sim,1,VITOR LIPPI,499726.00,1,499726.00,2023
950101,2023,Prestação de Contas enviada para Análise,11/12/2023,11/12/2023,26/12/2025,25000178585202306,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,190432,190432,190000,0,sim,1,VINICIUS CARVALHO,190432.00,1,0.00,2023
950511,2023,Em execução,06/12/2023,06/12/2023,05/09/2026,25000178638202381,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,9824374,9824374,"9394485,96",9824374,nao,0,,,1,9824374.00,2023
955180,2023,Em execução,31/12/2023,31/12/2023,31/12/2026,735262023,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,690195,690195,,690195,sim,1,VITOR LIPPI,690195.00,2,690195.00,2023
955702,2024,Prestação de Contas enviada para Análise,22/05/2024,22/05/2024,22/06/2025,21000015520202472,MINISTÉRIO DA AGRICULTURA E PECUÁRIA,Aquisição de um caminhão 3/4 VUC,382000,382000,382000,382000,sim,1,VITOR LIPPI,382000.00,1,382000.00,2024
959120,2024,Em execução,17/06/2024,17/06/2024,17/06/2028,71000034446202461,MINISTERIO DO ESPORTE,Construção de Pista de Skate no Município de Sorocaba/SP,1358000,1337000,,1337000,sim,1,COM. ESPORTE,1337000.00,1,1337000.00,2024
959123,2024,Prestação de Contas enviada para Análise,30/12/2024,30/12/2024,20/12/2025,47975200155202476,MINISTERIO DO TRABALHO E EMPREGO,"A Montagem da Confecção de Moda Sustentável proporcionará às PCDs, uma forma de capacitá-los com profissionais técnicos na Moda Sustentável, para serem pessoas eficientes e produtivas, mesmos com limi",250000,250000,250000,250000,sim,1,VITOR LIPPI,250000.00,1,250000.00,2024
959573,2024,Em execução,17/06/2024,17/06/2024,17/06/2028,71000012401202436,MINISTERIO DO ESPORTE,"Recuperação de Campo de Futebol e Vestiário, no Município de Sorocaba/SP","400946,66",382000,,382000,sim,1,SIMONE MARQUETTO,382000.00,1,382000.00,2024
960230,2024,Em execução,27/12/2024,27/12/2024,30/07/2026,01400010070202410,MINISTERIO DA CULTURA,"Realizar oficinas voltadas para a promoção da Diversidade Cultural com foco no desenvolvimento cultural, para jovens que residem em Sorocaba/SP.","138364,17",135000,135000,135000,sim,1,ARLINDO CHINAGLIA,135000.00,1,135000.00,2024
960512,2024,Em execução,15/07/2024,15/07/2024,27/10/2026,01400010455202479,MINISTERIO DA CULTURA,"Realizar concertos da Orquestra Sinfônica de Sorocaba para moradores das regiões periféricas de Sorocaba/SP, oferecendo transporte gratuito para o público convidado, promovendo a inclusão sócio cultur",500000,500000,500000,500000,sim,1,KIM KATAGUIRI,500000.00,1,500000.00,2024
966129,2024,Prestação de Contas em Análise,27/12/2024,30/12/2024,17/02/2026,01531000678202432,FUNDACAO NACIONAL DE ARTES,GIRLS ROCK CAMP BRASIL - Edição Especial: Vivências coletivas por meio de oficinas de iniciação musical para meninas entre 7 e 17 anos.,200000,200000,200000,200000,sim,1,SAMIA BOMFIM,200000.00,2,200000.00,2024
967770,2024,Prestação de Contas enviada para Análise,17/12/2024,17/12/2024,23/12/2026,25000080377202441,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,845000,841585,841585,841585,sim,1,RICARDO SALLES,841585.00,1,841585.00,2024
968511,2024,Em execução,21/10/2024,21/10/2024,30/09/2028,268382024,MINISTERIO DAS CIDADES,Elaboração de projetos - Corredor de ônibus - Corredor Norte / Industrial,1953000,1953000,,"37430,18",nao,0,,,4,37430.18,2024
968721,2024,Em execução,25/10/2024,25/10/2024,30/09/2028,271152024,MINISTERIO DAS CIDADES,Construção de uma estação elevatória de esgoto - Santa Rosália,1000000,1000000,,500000,nao,0,,,3,500000.00,2024; 2025
969969,2024,Em execução,27/12/2024,27/12/2024,26/12/2026,47975200142202405,MINISTERIO DO TRABALHO E EMPREGO,"Promover a inclusão social e econômica de indivíduos com fissura labiopalatina e seus familiares, além de outros públicos atendidos pela AFISSORE, por meio da capacitação para o cultivo,  beneficiamen",250000,250000,250000,250000,sim,1,VITOR LIPPI,250000.00,1,250000.00,2024
971162,2024,Em execução,27/12/2024,27/12/2024,09/01/2027,25000152109202438,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,650000,650000,"622768,13",650000,sim,1,MARCOS PEREIRA,650000.00,1,650000.00,2024
971203,2024,Em execução,30/12/2024,30/12/2024,20/03/2027,25000082337202433,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,3379337,3379160,"2376151,34",3379160,sim,5,ADRIANA VENTURA; CELSO RUSSOMANNO; ROSANGELA MORO; SAMIA BOMFIM; SIMONE MARQUETTO,3379160.00,5,3379160.00,2024
971481,2024,Em execução,31/12/2024,31/12/2024,31/12/2028,364422024,MINISTERIO DA SAUDE,REFORMA DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,861600,861600,,861600,sim,1,KIM KATAGUIRI,861600.00,1,861600.00,2024
972495,2024,Aguardando Prestação de Contas,31/12/2024,31/12/2024,30/04/2026,01415001873202414,INSTITUTO BRASILEIRO DE MUSEUS,"Realizar 3 exposições de arte a partir do acervo, a publicação de um catálogo em comemoração aos 20 anos da instituição e o restauro de 3 importantes obras de seu acervo, que sofreram com as duas últi",600000,600000,600000,600000,sim,1,TIRIRICA,600000.00,1,600000.00,2024
972496,2024,Em execução,30/12/2024,30/12/2024,19/10/2026,71000008555202423,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME","Ofertar Curso de Capacitação Profissional em Informática Básica a pessoas deficientes em situação de vulnerabilidade no Município de Sorocaba/SP, inscritas no Cadastro Único de Programas Sociais do Go",227648,200000,200000,200000,sim,1,VITOR LIPPI,200000.00,2,200000.00,2024
972981,2024,Em execução,31/12/2024,31/12/2024,14/01/2027,08020005595202368,MINISTERIO DA JUSTICA E SEGURANCA PUBLICA,"Aparelhar a Guarda Municipal de Sorocaba, por meio da aquisição de viatura caracterizada.","2096252,28","1831651,2","1144241,1","1831651,2",nao,0,,,2,1831651.20,2024
976405,2025,Em execução,24/11/2025,24/11/2025,24/04/2027,71000056309202569,MINISTERIO DO ESPORTE,"Implementação e Desenvolvimento do Projeto Delta, no Município Sorocaba/SP",490000,490000,490000,490000,sim,1,JILMAR TATTO,490000.00,1,490000.00,2025
977337,2025,Em execução,31/07/2025,31/07/2025,31/07/2028,292652025,MINISTERIO DAS CIDADES,Recapeamento asfáltico de vias do bairro Vila Mineirão do municipio de Sorocaba/SP,390005,384205,,384205,sim,1,EDUARDO BOLSONARO,384205.00,1,384205.00,2025
979521,2025,Em execução,17/12/2025,17/12/2025,17/06/2027,71000085543202501,MINISTERIO DO ESPORTE,Apoio á Realização dos Torneios de Futebol Amador no Estado de São Paulo,784000,784000,,784000,sim,1,COM. ESPORTE,784000.00,1,784000.00,2025
980203,2025,Em execução,07/11/2025,07/11/2025,30/09/2028,71000092632202504,MINISTERIO DO ESPORTE,"Reforma de Centro Esportivo, no Município de Sorocaba/SP.",1940000,1910000,,1910000,sim,1,COM. ESPORTE,1910000.00,1,1910000.00,2025
981766,2025,Em execução,13/11/2025,13/11/2025,17/12/2026,01245007588202589,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO","O Painel Inteligente propõe o desenvolvimento de uma plataforma tecnológica em Saúde 4.0,voltada ao mapeamento, monitoramento e fortalecimento de indicadores de saúde integral (mental,física e social)",400000,400000,400000,400000,sim,1,VITOR LIPPI,400000.00,1,400000.00,2025
984377,2025,Em execução,28/11/2025,28/11/2025,30/09/2028,71000087636202562,MINISTERIO DO ESPORTE,Reforma do Ginásio de Esportes Gualberto Moreira no Município de Sorocaba/SP.,830760,818160,,818160,sim,1,COM. ESPORTE,818160.00,1,818160.00,2025
985225,2025,Em execução,23/12/2025,23/12/2025,23/12/2026,01400034572202517,MINISTERIO DA CULTURA,"Aquisição de instrumentos musicais de sopro, percussão e cordas para reposição, manutenção e expansão do acervo da Orquestra Sinfônica de Sorocaba (OSS), visando qualificar a execução artística, garan",250000,250000,250000,250000,sim,1,KIM KATAGUIRI,250000.00,1,250000.00,2025
986451,2025,Em execução,23/12/2025,23/12/2025,23/12/2028,71000102878202593,MINISTERIO DO ESPORTE,Implementação e Desenvolvimento de Projeto Esportivo no Município de Sorocaba/SP,298500,294000,,294000,sim,1,JEFFERSON CAMPOS,294000.00,1,294000.00,2025
988862,2025,Em execução,19/12/2025,19/12/2025,12/06/2027,25000214528202551,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,499896,499896,,499896,sim,1,SAMIA BOMFIM,499896.00,1,499896.00,2025
990648,2025,Em execução,29/12/2025,29/12/2025,22/06/2027,25000221710202569,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,440000,384000,"375182,5",384000,sim,1,TABATA AMARAL,384000.00,1,384000.00,2025
990661,2025,Em execução,29/12/2025,29/12/2025,22/06/2027,25000221729202513,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE,358785,358785,,358785,sim,1,ERIKA HILTON,358785.00,1,358785.00,2025
