nr_convenio,ano_convenio,situacao,data_assinatura,vigencia_inicio,vigencia_fim,nr_processo,concedente,objeto,valor_global,valor_repasse,valor_desembolsado,valor_empenhado_conv,tem_emenda,qtd_emendas,parlamentares,valor_emenda_total,qtd_empenhos,valor_empenho_total,anos_empenho
799527,2013,Convênio Anulado,31/12/2013,31/12/2013,26/12/2015,71001023274201338,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – AQUISIÇÃO DE MATERIAL DE CONSUMO E CONTRATAÇÃO DE SERVIÇOS DE TERCEIROS ( PESSOA FÍSICA E/ OU JURÍDICA).,120000,100000,,0,sim,1,VICENTINHO,100000.00,2,0.00,2013; 2016
799541,2013,Prestação de Contas Concluída,30/12/2013,30/12/2013,30/12/2020,01200006193201341,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO",Portaria e Portal de entrada ao Parque Tecnológico de Sorocaba.,"442014,79",200000,200000,200000,sim,1,JEFFERSON CAMPOS,200000.00,1,200000.00,2013
800894,2014,Prestação de Contas Concluída,30/05/2014,30/05/2014,31/12/2021,0309172014,MINISTERIO DO TURISMO,Apoio a Projetos de Infraestrutura Turística - Construção do Centro de Atendimento ao Turista,"515483,99","474374,34","474374,34","474374,34",nao,0,,,1,474374.34,2014
802260,2014,Prestação de Contas Aprovada,10/07/2014,10/07/2014,15/03/2018,71001007353201482,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – REFORMAS DE CENTRO DE REFERÊNCIA DE ASSISTÊNCIA SOCIAL - CRAS,"707466,27","700391,6","700391,6","700391,6",sim,1,IARA BERNARDI,700391.60,2,700391.60,2014; 2016
802275,2014,Prestação de Contas Aprovada,10/07/2014,10/07/2014,10/07/2018,71001008389201483,"MINISTÉRIO DO DESENVOLVIMENTO E ASSISTÊNCIA SOCIAL, FAMÍLIA E COMBATE FOME",ESTRUTURAÇÃO DA REDE DE SERVIÇOS DE PROTEÇÃO SOCIAL BÁSICA – CONSTRUÇÃO DE CRAS.,"470315,88",350000,350000,350000,sim,1,IARA BERNARDI,350000.00,1,350000.00,2014
802490,2014,Convênio Rescindido,04/12/2014,04/12/2014,25/10/2016,25000240561201301,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,800000,800000,,0,sim,2,EDUARDO SUPLICY; JEFFERSON CAMPOS,800000.00,2,0.00,2014; 2018
804267,2014,Prestação de Contas Aprovada,25/06/2014,25/06/2014,28/02/2018,0292322014,MINISTERIO DAS CIDADES,Pavimentação de Ruas no Municipio de Sorocaba,"261011,06",255740,255740,255740,sim,1,IARA BERNARDI,255740.00,1,255740.00,2014
805096,2014,Prestação de Contas Aprovada,25/06/2014,25/06/2014,15/06/2018,0291972014,MINISTERIO DO ESPORTE,"Modernização de Infraestrutura para Esporte Educacional, Recreativo e de Lazer.",295500,292500,292500,292500,sim,1,KEIKO OTA,292500.00,1,292500.00,2014
806589,2014,Prestação de Contas em Análise,01/07/2014,01/07/2014,21/11/2017,00036000512201472,MINISTÉRIO DAS MULHERES,Avaliação e encontros com as 300 mulheres que foram capacitadas pelo Instituto Plenu.,102200,100000,95000,100000,sim,1,IARA BERNARDI,100000.00,1,100000.00,2014
807597,2014,Prestação de Contas Concluída,25/11/2014,25/11/2014,14/10/2017,25000170442201457,MINISTERIO DA SAUDE,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE,800000,800000,800000,800000,sim,2,EDUARDO SUPLICY; IARA BERNARDI,800000.00,2,800000.00,2014
812476,2014,Prestação de Contas Concluída,23/12/2014,23/12/2014,08/11/2017,25000212995201494,MINISTERIO DA SAUDE,MANUTENÇÃO DE UNIDADE DE SAÚDE,200000,200000,200000,200000,sim,1,IARA BERNARDI,200000.00,1,200000.00,2014
