ano,municipio_nome,periodo_tipo,mes,mes_numero,icms,ipva,fund_exp_ipi,compensacoes,total,fonte_url
2024,Sorocaba,mensal,Fevereiro,2,44461743.84,39255557.53,298337.15,152603.66,84168242.18,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Março,3,49817974.43,28472732.61,320764.86,135515.45,78746987.34,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Abril,4,60513743.31,26487559.52,438821.25,127874.80,87567998.88,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Maio,5,47596435.75,23335406.57,327196.43,153203.32,71412242.07,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Junho,6,53879113.55,8091664.50,414337.91,4219.02,62389334.98,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Julho,7,63590098.40,8770038.46,465132.25,167292.18,72992561.28,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Agosto,8,50327649.44,8046525.98,501969.09,161633.73,59037778.25,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Setembro,9,39467200.80,8101683.57,419831.11,322481.82,48311197.30,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Outubro,10,76746922.23,8267433.50,587492.75,169981.37,85771829.85,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Novembro,11,55390417.77,6456291.36,421550.01,0.00,62268259.14,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,mensal,Dezembro,12,68931626.29,9611200.57,578886.56,308857.86,79430571.27,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2024,Sorocaba,total_anual,Total,99,668102131.33,265434413.56,5152332.71,1853814.00,940542691.60,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Janeiro,1,55408794.84,95362652.77,350960.27,126342.48,151248750.36,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Fevereiro,2,59186362.35,42514131.45,407482.20,135770.86,102243746.86,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Março,3,60472748.41,32728298.04,470050.61,3093.18,93674190.25,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Abril,4,65130836.91,28666411.38,500699.21,178061.18,94476008.67,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Maio,5,60292366.33,25176299.64,397290.87,294720.33,86160677.18,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Junho,6,45701705.73,7992896.76,511456.20,3683.74,54209742.43,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Julho,7,82748655.44,9352860.04,472506.33,262536.46,92836558.27,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Agosto,8,61058464.20,8780280.73,417404.61,0.00,70256149.54,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Setembro,9,73727227.00,9377848.44,508175.39,254555.87,83867806.69,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Outubro,10,60755255.47,8928322.82,506292.29,3184.35,70193054.94,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Novembro,11,55974769.38,6454289.04,465952.66,129685.21,63024696.28,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,mensal,Dezembro,12,87750865.62,11692550.93,535232.53,241682.15,100220331.23,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2025,Sorocaba,total_anual,Total,99,768208051.69,287026842.04,5543503.16,1633315.81,1062411712.71,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,mensal,Janeiro,1,64419780.39,100736045.45,517937.34,105271.58,165779034.75,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,mensal,Fevereiro,2,41264215.71,47018975.80,500094.14,8593.14,88791878.79,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,mensal,Março,3,96936578.41,38106195.50,447851.06,283466.00,135774090.97,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,mensal,Abril,4,62054854.54,30093107.46,481830.04,0.00,92629792.05,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,mensal,Maio,5,33842266.07,0.00,351273.36,143054.36,34336593.80,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
2026,Sorocaba,total_anual,Total,99,298517695.12,215954324.21,2298985.95,540385.08,517311390.36,https://www.fazenda.sp.gov.br/RepasseConsulta/Consulta/repasse.aspx
