nro_processo,ano,situacao,obra,municipio,fonte,coletado_em
S00151,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00178,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00179,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00198,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00201,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00212,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00229,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00274,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00275,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00278,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00314,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00339,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00341,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00414,2021,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00456,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00461,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00462,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00479,2020,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00505,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00551,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00574,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00603,2018,Sem medicao,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00620,2019,EM EXECUCAO,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00638,2019,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00694,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
S00716,2018,ENCERRADO - CUMPRIMENTO INTEGRAL,Sem descricao',sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
