modalidade,nro_processo_licitatorio,nro_processo_adm,objeto,situacao,data,data_abertura,hora_abertura,total_registro_preco,valor_comprado,valor_estimado,itens,documentos,excel,municipio,fonte,coletado_em
Dispensa de Licitacao,00030/2026,7572025,Aquisicao de Materiais Diversos,encerrada,10/03/2026,:,"0,00","2.764,20","2.764,20",2,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00031/2026,1746/24,Aquisicao de Equipamentos Diversos,encerrada,12/03/2026,:,"0,00","238.958,53","238.958,53",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00032/2026,1894,Locacao Com Fornecimento de Material,encerrada,12/03/2026,:,"0,00","2.920,00","2.920,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00033/2026,236824,Aquisicao de Equipamentos Eletricos,encerrada,17/03/2026,:,"0,00","29.496,81","29.496,81",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00034/2026,45882024,Aquisicao de Aparelhos de Medicao,encerrada,18/03/2026,:,"0,00","42.602,40","42.602,40",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00035/2026,9392025,Aquisicao de Conexoes Hidraulicas em Geral,encerrada,24/03/2026,:,"0,00","23.961,95","23.961,95",15,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00036/2026,35146/26,Aquisicao de Mobiliario em Geral,encerrada,27/03/2026,:,"0,00","8.666,00","8.666,00",3,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00037/2026,3382826,Aquisicao de Materiais Diversos,encerrada,31/03/2026,:,"0,00","1.917,00","1.917,00",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00038/2026,3611426,"Assinatura/renovacao de Jornais, Revis- Tas, Boletins e Outros",encerrada,31/03/2026,:,"0,00","1.007,86","1.007,86",1,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
Dispensa de Licitacao,00039/2026,276124,Aquisicao de Aparelhos de Medicao,encerrada,07/04/2026,27/04/2026,00:00,"0,00","32.465,94","32.465,94",3,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
