ano,nro_siam,tipo,cnpj_cpf,fornecedor,nome_fantasia,data_inicial,data_final,valor_contratado,valor_empenhado,valor_processado,valor_pago,objeto,modalidade_processo,nro_processo_adm,documentos,municipio,fonte,coletado_em
2026,0000000012,Fornecimento de Material,64.094.150/0001-94,Instalpecas Comercial Ltda,Instalpecas,08/04/2026,08/04/2027,"8.666,00","8.666,00","8.666,00","8.666,00",AQUISICAO DE MOBILIARIO EM GERAL,Dispensa de Licitacao (S00036/2026),35146/26,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000013,Fornecimento de Serviços,46.887.139/0003-61,Expresso Amerelinho Ltda,27/04/2026,27/04/2031,"414.750,00","43.200,00","3.086,15","3.086,15",CONTRATACAO DE SERVICOS,Inexigibilidade (I00010/2025),11802025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000014,Fornecimento de Serviços,26.037.407/0001-87,Wtp Processos e Solucoes em Agua Ltda,Wtp,"989.999,00","989.999,00","0,00","0,00",CONTRATACAO DE SERVICOS DE ENGENHARIA,Pregao Eletronico (E00046/2025),1354/25,,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000015,Fornecimento de Serviços,50.333.699/0001-80,Empresa de Des.urbano e Social Sorocaba,17/04/2026,17/04/2031,"5.325.000,00","798.750,00","0,00","0,00",CONTRATACAO DE SERVICOS,Inexigibilidade (I00001/2026),18832025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000017,Fornecimento de Serviços,65.853.889/0001-03,Serg Paulista Const e Servicos Tecnicos Ltda.,Serg Paulista Const e Servicos Tecnicos Ltda.,24/04/2026,24/04/2028,"12.427.104,96","4.660.164,36","0,00","0,00",CONTRATACAO DE SERVICOS ESPECIALIZADOS,Pregao Eletronico (E00001/2026),9812025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000018,Fornecimento de Serviços,13.960.759/0001-68,Wm Garden Servicos de Jardinagem Ltda,27/04/2026,27/04/2028,"4.331.183,50","1.624.193,81","0,00","0,00",CONTRATACAO DE SERVICOS ESPECIALIZADOS,Pregao Eletronico (E00001/2026),9812025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000019,Fornecimento de Serviços,08.202.887/0001-02,Vector Comercial Automacao Industrial Ltda,27/04/2026,23/12/2026,"2.056.159,00","2.056.159,00","0,00","0,00",CONTRATACAO DE SERVICOS DE ENGENHARIA,Pregao Eletronico (E00006/2026),2392025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000020,Fornecimento de Material e Serviços,21.998.472/0001-55,Aquamec Industria e Comercio de Equip. S/a,24/04/2026,24/04/2027,"1.868.630,00","1.868.630,00","0,00","0,00",CONTRATACAO DE SERVICOS DE ENGENHARIA,Pregao Eletronico (E00007/2026),14612025,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000021,Fornecimento de Material,24.253.611/0001-00,C4m Com. e Serv. de Equipamentos Ltda,27/04/2026,27/04/2027,"32.465,94","32.465,94","0,00","0,00",AQUISICAO DE APARELHOS DE MEDICAO,Dispensa de Licitacao (S00039/2026),276124,,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000976,Fornecimento de Material,09.512.045/0001-10,Ser Epis e Ferramentas Eireli - Me.,Ser Epis,25/03/2026,31/12/2026,"160.782,12","271.692,67","148.279,12","148.279,12",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000000980,Fornecimento de Material,37.760.066/0001-90,Vitoria Servico e Comercio Ltda - Me,Vitoria Servico e Comercio,25/03/2026,31/12/2026,"43.581,97","43.581,97","43.581,97","43.581,97",AQUISICAO DE EQUIPAMENTOS DE SEGURANCA E PROTECAO,Pregao Eletronico (E00028/2025),29292025,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
2026,0000279617,Fornecimento de Serviços,33.683.111/0001-07,Servico Federal Processamento de Dados-serpro,Serpro Sede,14/04/2026,13/04/2028,"250.526,16","0,00","0,00","0,00",SERVICOS EM GERAL,Dispensa de Licitacao (S00156/2025),852/25,,sorocaba,https://saae.tda.inf.br/transparencia (Portal TDA SAAE Sorocaba),2026-05-23
