arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_previdenciario_2014_05_5_balanco_prevmai14.pdf,2014,balanco_previdenciario,,14112,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_06_6_balanco_prevjun14.pdf,2014,balanco_previdenciario,,14116,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_07_7_balanco_prevjul14.pdf,2014,balanco_previdenciario,,14114,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_08_8_balanco_prevago14.pdf,2014,balanco_previdenciario,,14132,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_09_9_balanco_prevset14.pdf,2014,balanco_previdenciario,,14179,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_10_10_balanco_prevout14.pdf,2014,balanco_previdenciario,,14206,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_11_11_balanco_prevnov14.pdf,2014,balanco_previdenciario,,14239,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2014_12_12_balanco_prevdez14.pdf,2014,balanco_previdenciario,,14199,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_01_1_balanco_prevjan15.pdf,2015,balanco_previdenciario,,14767,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_02_2_balanco_prevfev15.pdf,2015,balanco_previdenciario,,14724,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_03_3_balanco_prevmar15.pdf,2015,balanco_previdenciario,,14792,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_04_4_balanco_prevabr15.pdf,2015,balanco_previdenciario,,14791,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_05_5_balanco_prevmai15.pdf,2015,balanco_previdenciario,,14784,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_06_6_balanco_prevjun15.pdf,2015,balanco_previdenciario,,14790,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_07_7_balanco_prevjul15.pdf,2015,balanco_previdenciario,,14813,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_08_8_balanco_prevago15.pdf,2015,balanco_previdenciario,,14804,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_09_9_balanco_prevset15.pdf,2015,balanco_previdenciario,,14832,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_10_10_balanco_prevout15.pdf,2015,balanco_previdenciario,,14817,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_11_11_balanco_prevnov15.pdf,2015,balanco_previdenciario,,14809,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2015_12_12_balanco_prevdez15.pdf,2015,balanco_previdenciario,,14827,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_01_1_balanco_prevjan16.pdf,2016,balanco_previdenciario,,14051,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_02_2_balanco_prevfev16.pdf,2016,balanco_previdenciario,,13758,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_03_3_balanco_prevmar16.pdf,2016,balanco_previdenciario,,14066,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_04_4_balanco_prevabr16.pdf,2016,balanco_previdenciario,,14068,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_05_5_balanco_prevmai16.pdf,2016,balanco_previdenciario,,14058,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_06_6_balanco_prevjun16.pdf,2016,balanco_previdenciario,,14070,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_07_7_balanco_prevjul16.pdf,2016,balanco_previdenciario,,14096,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_08_8_balanco_prevago16.pdf,2016,balanco_previdenciario,,14099,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_09_9_balanco_prevset16.pdf,2016,balanco_previdenciario,,14098,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_10_10_balanco_prevout16.pdf,2016,balanco_previdenciario,,14087,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_11_11_balanco_prevnov16.pdf,2016,balanco_previdenciario,,14095,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2016_12_12_balanco_prevdez16.pdf,2016,balanco_previdenciario,,14153,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_01_1_balanco_prevjan17.pdf,2017,balanco_previdenciario,,14104,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_02_2_balanco_prevfev17.pdf,2017,balanco_previdenciario,,14072,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_03_3_balanco_prevmar17.pdf,2017,balanco_previdenciario,,14086,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_04_4_balanco_prevabr17.pdf,2017,balanco_previdenciario,,14079,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_05_5_balanco_prevmai17.pdf,2017,balanco_previdenciario,,14549,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_06_6_balanco_prevjun17.pdf,2017,balanco_previdenciario,,14571,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_07_7_balanco_prevjul17.pdf,2017,balanco_previdenciario,,14386,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_08_8_balanco_prevago17.pdf,2017,balanco_previdenciario,,14577,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_09_9_balanco_prevset17.pdf,2017,balanco_previdenciario,,14588,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_10_10_balanco_prevout17.pdf,2017,balanco_previdenciario,,14580,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_11_11_balanco_prevnov17.pdf,2017,balanco_previdenciario,,14588,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2017_12_12_balanco_prevdez17.pdf,2017,balanco_previdenciario,,14692,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_01_1_balanco_prevjan18.pdf,2018,balanco_previdenciario,,13991,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_02_2_balanco_prevfev18.pdf,2018,balanco_previdenciario,,14007,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_03_3_balanco_prevmar18.pdf,2018,balanco_previdenciario,,14976,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_04_4_balanco_prevabr18.pdf,2018,balanco_previdenciario,,14964,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_05_5_balanco_prevmai18.pdf,2018,balanco_previdenciario,,14963,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_06_6_balanco_prevjun18.pdf,2018,balanco_previdenciario,,14988,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_07_7_balanco_prevjul18.pdf,2018,balanco_previdenciario,,14987,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_08_8_balanco_prevago18.pdf,2018,balanco_previdenciario,,15008,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_09_9_balanco_prevset18.pdf,2018,balanco_previdenciario,,15013,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_10_10_balanco_prevout18.pdf,2018,balanco_previdenciario,,15007,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_11_11_balanco_prevnov18.pdf,2018,balanco_previdenciario,,15009,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2018_12_12_balanco_prevdez18.pdf,2018,balanco_previdenciario,,15048,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_01_01_balanco_prevjan19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_02_02_balanco_prevfev19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_03_03_balanco_prevmar19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_04_04_balanco_prevabr19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_previdenciario_2019_05_05_balanco_prevmai19.pdf,2019,balanco_previdenciario,,2,nao,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
