arquivo,ano,categoria,paginas,chars,tem_texto,fonte
balanco_saude_2015_08_8_balanco_saudeago15.pdf,2015,balanco_saude,,14483,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_09_9_balanco_saudeset15.pdf,2015,balanco_saude,,14471,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_10_10_balanco_saudeout15.pdf,2015,balanco_saude,,14475,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_11_11_balanco_saudenov15.pdf,2015,balanco_saude,,14488,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2015_12_12_balanco_saudedez15.pdf,2015,balanco_saude,,14463,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_01_1_balanco_saudejan16.pdf,2016,balanco_saude,,13732,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_02_2_balanco_saudefev16.pdf,2016,balanco_saude,,13758,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_03_3_balanco_saudemar16.pdf,2016,balanco_saude,,13758,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_04_4_balanco_saudeabr16.pdf,2016,balanco_saude,,13762,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_05_5_balanco_saudemai16.pdf,2016,balanco_saude,,13769,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_06_6_balanco_saudejun16.pdf,2016,balanco_saude,,13750,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_07_7_balanco_saudejul16.pdf,2016,balanco_saude,,13757,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_08_8_balanco_saudeago16.pdf,2016,balanco_saude,,13770,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_09_9_balanco_saudeset16.pdf,2016,balanco_saude,,13768,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_10_10_balanco_saudeout16.pdf,2016,balanco_saude,,13760,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_11_11_balanco_saudenov16.pdf,2016,balanco_saude,,13773,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2016_12_12_balanco_saudedez16.pdf,2016,balanco_saude,,13723,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_01_1_balanco_saudejan17.pdf,2017,balanco_saude,,13699,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_02_2_balanco_saudefev17.pdf,2017,balanco_saude,,13742,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_03_3_balanco_saudemar17.pdf,2017,balanco_saude,,13717,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
balanco_saude_2017_04_4_balanco_saudeabr17.pdf,2017,balanco_saude,,13736,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
