arquivo,ano,categoria,paginas,chars,tem_texto,fonte
governanca_05_pe_5_anos_revisao_2026.pdf,2026,governanca,,472,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_01_01_janeiro_controle_2026.pdf,2026,governanca,,10698,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_02_02_fevereiro_controle_2026.pdf,2026,governanca,,10165,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_02_rfc_02_2026.pdf,2026,governanca,,5482,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_03_03_marco_controle_2026.pdf,2026,governanca,,10274,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_03_rfc_03_2026.pdf,2026,governanca,,5813,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_controle_2026.pdf,2026,governanca,,5863,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_2026_rfc_2026.pdf,2026,governanca,,4829,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_fgts_2026.pdf,2026,governanca,,1047,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_inscritos_2026.pdf,2026,governanca,,1141,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_municipais_2026.pdf,2026,governanca,,947,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_trab_2026.pdf,2026,governanca,,1829,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_uf_2026.pdf,2026,governanca,,802,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
governanca_cnd_uniao_2025.pdf,2025,governanca,,1884,sim,FUNSERV Sorocaba - documento PDF (indice; texto completo em data/extracted)
