obra_id,contrato,cpl,objeto,secretaria,empresa_contratada,cnpj,cnpj_valido,valor_contrato,percentual_concluido,status,financiadora,previsao_conclusao,quantidade,logradouro,bairro,municipio,uf,cep
25,459/2023,235/2023,implantação de centro de convivência esportiva no jd dos pássaros,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"352505,24","100,00%",Ativo,Convênio Estadual,2024-07-31,0.00 m²,Rua Arlindo Pereira Fernandes,Jd dos Pássaros,Sorocaba,SP,18103-812
26,899/2023,290/2023,implantação de quadra de areia e playground no jardim nilton torres.,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"227445,24","99,39%",Ativo,Câmara Municipal de Sorocaba,2024-07-10,0.00 m²,Rua Aurélio Borgio,Jd Nilton Torres,Sorocaba,SP,18105-516
27,699/2024,367/2023,reforma e adequações de acessibilidade na unidade mista brigadeiro tobias.,SES - Secretaria da Saúde,SERRALHERIA SÃO JOSÉ LTDA,11619205000176,1,"336492,85","99,81%",Ativo,PREFEITURA MUNICIPAL DE SOROCABA,2025-03-08,769.62 m²,Rua Ana Gomes Correa,Brigadeiro Tobias,Sorocaba,SP,18108-185
28,605/2024,337/2023,contratação de empresa para reforma do ginásio municipal dr. gualberto moreira.,SEQUAV - Secretaria de Esporte e Qualidade de Vida,VIVA CONSTRUÇÕES E SERVIÇOS LTDA,08756015000196,1,"651021,54","98,67%",Ativo,Convênio Estadual,2024-10-31,3421.66 m²,Rua Duarte da Costa,Vila Hortência,Sorocaba,SP,18020-040
29,878/2023,444/2023,execuçãode academia ao ar livre com a reforma da quadra no bairro jardim carolina.,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"158937,89","99,09%",Ativo,Câmara Municipal de Sorocaba,2024-07-31,0.00 m²,Rua jair Salim Junior,Jd. Carolina,,,18103-535
30,912/2023,414/2023,implantação de espaço para cães no parque dos espanhóis - dog park.,SERPO - Secretaria de Serviços Públicos e Obras,MAHAL SERVIÇOS EM CONSTRUÇÕES EIRELI,21355502000105,1,"67910,16","100,00%",Ativo,Câmara Municipal de Sorocaba,2024-05-03,0.00 m²,Rua Dr. Campos Salles,Vila Assis,Sorocaba,SP,18025-100
31,906/2023,350/2023,"revitalização do centro de convivência esportivo ""josé antonio camargo - zeca""",SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"282853,79","93,64%",Ativo,Câmara Municipal de Sorocaba,2024-08-31,0.00 m²,Rua Izidro Sanches,Cajuru,Sorocaba,SP,18105-100
32,450/2023,233/2023,implantação de centro esportivo no jardim amália - bairro do éden,SERPO - Secretaria de Serviços Públicos e Obras,"W2 MANUTENÇÕES, CONSTRUÇÕES E REFORMAS",07335981000177,1,"338162,00","100,00%",Ativo,Convênio Estadual,2024-07-11,0.00 m²,Rua Tenente José Ribeiro da Silva,Jd Amália,,,18103-645
33,910/2023,335/2023,ampliação e melhorias em playground na vila mineirão,SERPO - Secretaria de Serviços Públicos e Obras,MAHAL SERVIÇOS EM CONSTRUÇÕES EIRELI,21355502000105,1,"107776,40","96,10%",Ativo,Câmara Municipal de Sorocaba,2024-07-31,0.00 m²,Rua Antero Jose da Rosa,Vila Mineirão,Sorocaba,SP,18076-482
34,676/2024,403/2023,execução de obras gerais para construção da nova rodoviária de sorocaba (financiamento internacional),SEAD - Secretaria de Administração,CONSÓRCIO TMS-INCRETE,55560274000127,1,"55940695,08","32,72%",Ativo,CAF,2025-10-01,38.00 m²,Avenida Doutor José Bella Neto,Reserva Parque Fazenda Imperial,Sorocaba,,18052-775
