fonte_categoria,fonte_nome,rotulo,url
contas_anuais,Contas Anuais,Economia,https://www.tce.sp.gov.br/sites/default/files/portal/11.2%20-%20Manifesta%C3%A7%C3%A3o%20ATJ%20ECONOMIA.pdf
contas_anuais,Contas Anuais,Jurídico,https://www.tce.sp.gov.br/sites/default/files/portal/11.3.%20Manifesta%C3%A7%C3%A3o%20ATJ%20Jur%C3%ADdico.pdf
contas_anuais,Contas Anuais,Chefia,https://www.tce.sp.gov.br/sites/default/files/portal/11.4.%20Manifesta%C3%A7%C3%A3o%20ATJ%20Chefia.pdf
contas_anuais,Contas Anuais,Manifestação,https://www.tce.sp.gov.br/sites/default/files/portal/12.%20Manifesta%C3%A7%C3%A3o%20SDG.pdf
contas_anuais,Contas Anuais,Manifestação,https://www.tce.sp.gov.br/sites/default/files/portal/13.%20Manifesta%C3%A7%C3%A3o%20PFE.pdf
contas_anuais,Contas Anuais,Manifestação,https://www.tce.sp.gov.br/sites/default/files/portal/14.%20Manifesta%C3%A7%C3%A3o%20MPC.pdf
contas_anuais,Contas Anuais,Notificação,https://www.tce.sp.gov.br/sites/default/files/portal/15.%20Notifica%C3%A7%C3%A3o%20para%20conhecimento%20e%20alega%C3%A7%C3%B5es%20finais-DOE%2029-5-24.pdf
contas_anuais,Contas Anuais,Ofício nº 316/2014,https://www.tce.sp.gov.br/sites/default/files/portal/16.%20OF%C3%8DCIO%20N%C2%BA%20316-2024-GS-3.pdf
contas_anuais,Contas Anuais,Manifestação após alegações,https://www.tce.sp.gov.br/sites/default/files/portal/17.%20Manifesta%C3%A7%C3%A3o%20PFE%20ap%C3%B3s%20alega%C3%A7%C3%B5es%20finais%20do%20Governo.pdf
contas_anuais,Contas Anuais,Manifestação após alegações,https://www.tce.sp.gov.br/sites/default/files/portal/18.%20Manifesta%C3%A7%C3%A3o%20MPC%20ap%C3%B3s%20alega%C3%A7%C3%B5es%20finais%20do%20Governo.pdf
contas_anuais,Contas Anuais,Nota de Decisão,https://www.tce.sp.gov.br/sites/default/files/portal/19.1.%20Atos%20do%20Colegiado%20-%20Nota%20de%20Decis%C3%A3o%20do%20TP.pdf
contas_anuais,Contas Anuais,Notas Taquigráficas,https://www.tce.sp.gov.br/sites/default/files/portal/19.2.%20Atos%20do%20Colegiado%20-%20Notas%20Taquigr%C3%A1ficas.pdf
