municipio,tipo,titulo,caminho,arquivo_url_raw,download_url
paulinia,loa,Apresentação,PPA 2022-2025 > 2025 > LOA > Apresentação,PMPAULINIA%2Faudiencias_publicas%2Fa31cf639-3158-4be3-9f43-772a22bed4a2_Apresentacao.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fa31cf639-3158-4be3-9f43-772a22bed4a2_Apresentacao.pdf
paulinia,loa,Ata Audiência PLOA 2025 - 25-09-2024 -10h,PPA 2022-2025 > 2025 > LOA > Ata Audiência PLOA 2025 - 25-09-2024 -10h,PMPAULINIA%2Faudiencias_publicas%2Fe133ee5c-bbe8-44d0-8040-10808ff6475e_Ata_Audiencia_PLOA_2025_-_25-09-2024_-10h.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fe133ee5c-bbe8-44d0-8040-10808ff6475e_Ata_Audiencia_PLOA_2025_-_25-09-2024_-10h.pdf
paulinia,loa,"LEI Nº 4.521, DE 26 DE DEZEMBRO DE 2024","PPA 2022-2025 > 2025 > LOA > LEI Nº 4.521, DE 26 DE DEZEMBRO DE 2024",PMPAULINIA%2Faudiencias_publicas%2Fb05eecec-4035-47f8-af93-cea87222f986_LEI_N%C2%BA_4.521%2C_DE_26_DE_DEZEMBRO_DE_2024.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fb05eecec-4035-47f8-af93-cea87222f986_LEI_N%C2%BA_4.521%2C_DE_26_DE_DEZEMBRO_DE_2024.pdf
paulinia,loa,Relatório de Avaliação Programas 2025,PPA 2022-2025 > 2025 > LOA > Relatório de Avaliação Programas 2025,PMPAULINIA%2Faudiencias_publicas%2F38ae0ff6-2450-4fec-aca5-59317403404a_Relatorio_de_Avaliacao_Programas_2025.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F38ae0ff6-2450-4fec-aca5-59317403404a_Relatorio_de_Avaliacao_Programas_2025.pdf
paulinia,ppa,PLANO PLURIANUAL - CICLO 2026 - 2029,PPA 2026-2029 > 2026 > PPA > PLANO PLURIANUAL - CICLO 2026 - 2029,PMPAULINIA%2Faudiencias_publicas%2Fefaa47b9-f5b9-41d5-ac1f-6a0e260db56e_PLANO_PLURIANUAL_-_CICLO_2026_-_2029.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fefaa47b9-f5b9-41d5-ac1f-6a0e260db56e_PLANO_PLURIANUAL_-_CICLO_2026_-_2029.pdf
paulinia,ppa,ATA AUDIÊNCIA - PPA 2026-2009 E LOA 2026,PPA 2026-2029 > 2026 > PPA > ATA AUDIÊNCIA - PPA 2026-2009 E LOA 2026,PMPAULINIA%2Faudiencias_publicas%2F7c092c13-a3ff-4c07-b5f1-f720b7222ec7_Ata_Audiencia_PPA_2026_-2029_e_LOA_2026_-_26-09-2025_-14h_-_PPA_E_LOA.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F7c092c13-a3ff-4c07-b5f1-f720b7222ec7_Ata_Audiencia_PPA_2026_-2029_e_LOA_2026_-_26-09-2025_-14h_-_PPA_E_LOA.pdf
paulinia,ppa,APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - PPA 2026 A 2029 E LOA 2026,PPA 2026-2029 > 2026 > PPA > APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - PPA 2026 A 2029 E LOA 2026,PMPAULINIA%2Faudiencias_publicas%2F19bb44d3-541b-4967-a00f-9aec93a0d938_APRESENTACAO_PPA_2026-2029_LOA_2026.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F19bb44d3-541b-4967-a00f-9aec93a0d938_APRESENTACAO_PPA_2026-2029_LOA_2026.pdf
paulinia,ldo,LEI DE DIRETRIZES ORÇAMENTÁRIAS - 2026,PPA 2026-2029 > 2026 > LDO > LEI DE DIRETRIZES ORÇAMENTÁRIAS - 2026,PMPAULINIA%2Faudiencias_publicas%2Fd9039aef-ccd4-485d-a85f-a2eaf3e3827a_LEI_DE_DIRETRIZES_ORCAMENTARIAS_-_2026.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fd9039aef-ccd4-485d-a85f-a2eaf3e3827a_LEI_DE_DIRETRIZES_ORCAMENTARIAS_-_2026.pdf
paulinia,ldo,ATA AUDIÊNCIA - LDO 2026,PPA 2026-2029 > 2026 > LDO > ATA AUDIÊNCIA - LDO 2026,PMPAULINIA%2Faudiencias_publicas%2F984675e2-1cd2-4b35-8411-d4b4080245d0_ATA_AUDIENCIA_PLDO_2026_-_14-04-2025_-14h.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F984675e2-1cd2-4b35-8411-d4b4080245d0_ATA_AUDIENCIA_PLDO_2026_-_14-04-2025_-14h.pdf
paulinia,ldo,APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - LDO 2026,PPA 2026-2029 > 2026 > LDO > APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - LDO 2026,PMPAULINIA%2Faudiencias_publicas%2F3e770286-3f15-4030-9a8f-2890ae3788fb_AUDIENCIA_PUBLICA_-LDO_2026.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F3e770286-3f15-4030-9a8f-2890ae3788fb_AUDIENCIA_PUBLICA_-LDO_2026.pdf
paulinia,loa,LEI ORÇAMENTÁRIA ANUAL - LOA 2026,PPA 2026-2029 > 2026 > LOA > LEI ORÇAMENTÁRIA ANUAL - LOA 2026,PMPAULINIA%2Faudiencias_publicas%2Fb8dbbf2c-8b3a-4c87-8b90-3d77acbd259e_LOA_2026_compressed.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fb8dbbf2c-8b3a-4c87-8b90-3d77acbd259e_LOA_2026_compressed.pdf
paulinia,loa,ATA AUDIÊNCIA PPA 2026 A 2029 E LOA 2026,PPA 2026-2029 > 2026 > LOA > ATA AUDIÊNCIA PPA 2026 A 2029 E LOA 2026,PMPAULINIA%2Faudiencias_publicas%2F0c44f7a5-b2f3-4281-9c3f-75cf03c46414_Ata_Audiencia_PPA_2026_-2029_e_LOA_2026_-_26-09-2025_-14h_-_PPA_E_LOA.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F0c44f7a5-b2f3-4281-9c3f-75cf03c46414_Ata_Audiencia_PPA_2026_-2029_e_LOA_2026_-_26-09-2025_-14h_-_PPA_E_LOA.pdf
paulinia,loa,APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - PPA 2026 A 2029 E LOA 2026,PPA 2026-2029 > 2026 > LOA > APRESENTAÇÃO - AUDIÊNCIA PÚBLICA - PPA 2026 A 2029 E LOA 2026,PMPAULINIA%2Faudiencias_publicas%2F119ccebd-b38c-4b0d-8944-a1fe9d9418c7_APRESENTACAO_PPA_2026-2029_LOA_2026.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F119ccebd-b38c-4b0d-8944-a1fe9d9418c7_APRESENTACAO_PPA_2026-2029_LOA_2026.pdf
paulinia,ldo,PROGRAMAS E AÇÕES LDO - 2027,PPA 2026-2029 > 2027 > LDO 2027 > PROGRAMAS E AÇÕES LDO - 2027,PMPAULINIA%2Faudiencias_publicas%2Fd219b95a-24fe-4deb-84a4-2c682747c6c7_PROGRAMAS_E_ACOES_LDO_-_2027.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2Fd219b95a-24fe-4deb-84a4-2c682747c6c7_PROGRAMAS_E_ACOES_LDO_-_2027.pdf
paulinia,ldo,APRESENTAÇÃO DA AUDIÊNCIA,PPA 2026-2029 > 2027 > LDO 2027 > APRESENTAÇÃO DA AUDIÊNCIA,PMPAULINIA%2Faudiencias_publicas%2F932e11d1-22ad-425b-b35f-ee29518d4689_Apresentacao_Audiencia.pdf,https://transparencia-paulinia.smarapd.com.br/paifileserver/filemanager/pai/download?nomeArquivo=PMPAULINIA%2Faudiencias_publicas%2F932e11d1-22ad-425b-b35f-ee29518d4689_Apresentacao_Audiencia.pdf
