ibge,uf,regiao,nome,key
3502705,SP,SE,Apiaí,apiai
2100832,MA,NE,Apicum-Açu,apicum_acu
4201257,SC,S,Apiúna,apiuna
2401008,RN,NE,Apodi,apodi
2901908,BA,NE,Aporá,apora
5201504,GO,CO,Aporé,apore
2901957,BA,NE,Apuarema,apuarema
4101408,PR,S,Apucarana,apucarana
1300144,AM,N,Apuí,apui
2300903,CE,NE,Apuiarés,apuiares
2800209,SE,NE,Aquidabã,aquidaba
5001102,MS,CO,Aquidauana,aquidauana
2301000,CE,NE,Aquiraz,aquiraz
4201273,SC,S,Arabutã,arabuta
2500809,PB,NE,Araçagi,aracagi
3103207,MG,SE,Araçaí,aracai
2800308,SE,NE,Aracaju,aracaju
3502754,SP,SE,Araçariguama,aracariguama
2902054,BA,NE,Araçás,aracas
2301109,CE,NE,Aracati,aracati
2902005,BA,NE,Aracatu,aracatu
3502804,SP,SE,Araçatuba,aracatuba
2902104,BA,NE,Araci,araci
3103306,MG,SE,Aracitaba,aracitaba
2301208,CE,NE,Aracoiaba,aracoiaba
2601052,PE,NE,Araçoiaba,aracoiaba
3502903,SP,SE,Araçoiaba da Serra,aracoiaba_da_serra
3200607,ES,SE,Aracruz,aracruz
5201603,GO,CO,Araçu,aracu
3103405,MG,SE,Araçuaí,aracuai
5201702,GO,CO,Aragarças,aragarcas
5201801,GO,CO,Aragoiânia,aragoiania
1701309,TO,N,Aragominas,aragominas
1701903,TO,N,Araguacema,araguacema
1702000,TO,N,Araguaçu,araguacu
5101001,MT,CO,Araguaiana,araguaiana
1702109,TO,N,Araguaína,araguaina
5101209,MT,CO,Araguainha,araguainha
1702158,TO,N,Araguanã,araguana
2100873,MA,NE,Araguanã,araguana
5202155,GO,CO,Araguapaz,araguapaz
3103504,MG,SE,Araguari,araguari
1702208,TO,N,Araguatins,araguatins
2100907,MA,NE,Araioses,araioses
5001243,MS,CO,Aral Moreira,aral_moreira
2902203,BA,NE,Aramari,aramari
4300851,RS,S,Arambaré,arambare
2100956,MA,NE,Arame,arame
3503000,SP,SE,Aramina,aramina
3503109,SP,SE,Arandu,arandu
3103603,MG,SE,Arantina,arantina
3503158,SP,SE,Arapeí,arapei
2700300,AL,NE,Arapiraca,arapiraca
1702307,TO,N,Arapoema,arapoema
3103702,MG,SE,Araponga,araponga
4101507,PR,S,Arapongas,arapongas
3103751,MG,SE,Araporã,arapora
4101606,PR,S,Arapoti,arapoti
3103801,MG,SE,Arapuá,arapua
4101655,PR,S,Arapuã,arapua
5101258,MT,CO,Araputanga,araputanga
4201307,SC,S,Araquari,araquari
2500908,PB,NE,Arara,arara
4201406,SC,S,Araranguá,ararangua
3503208,SP,SE,Araraquara,araraquara
3503307,SP,SE,Araras,araras
2301257,CE,NE,Ararendá,ararenda
2101004,MA,NE,Arari,arari
4300877,RS,S,Araricá,ararica
2301307,CE,NE,Araripe,araripe
2601102,PE,NE,Araripina,araripina
3300209,RJ,SE,Araruama,araruama
4101705,PR,S,Araruna,araruna
