numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,valor_global,municipio_nome,uf,esfera_nome,title,description,item_url
45751435000106-1-000048/2023,,2023,48,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-08-21T12:39:59.600748,2023-08-21T12:39:59.600748,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 22.457/2023,Aquisição de materiais para o Departamento de Reabilitação da Secretaria de Saúde.,/compras/45751435000106/2023/48
45751435000106-1-000086/2023,,2023,86,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-09-29T08:49:01.857632,2023-09-29T08:49:01.857632,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 27529/2023,AQUISIÇÃO DE BINÓCULOS DE LONGO ALCANCE E BINÓCULOS DE VISÃO NOTURNA.,/compras/45751435000106/2023/86
45751435000106-1-000096/2023,,2023,96,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-10-19T13:09:52.052211,2023-10-19T13:09:52.052211,,Paulínia,SP,Municipal,Edital nº 243/2023,AQUISIÇÃO DE MÓVEIS E EQUIPAMENTOS PARA COMPOR O DEPARTAMENTO DE MUSEU,/compras/45751435000106/2023/96
45751435000106-1-000100/2023,,2023,100,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-10-23T09:07:52.884271,2023-11-21T12:52:12.941101,,Paulínia,SP,Municipal,Edital nº 246/2023,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE EMPILHADEIRAS ELÉTRICAS,/compras/45751435000106/2023/100
45751435000106-1-000139/2023,,2023,139,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-23T13:53:54.150104,2023-12-19T09:38:45.384432,,Paulínia,SP,Municipal,Edital nº 286/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE AGUA MINERAL SEM GÁS,/compras/45751435000106/2023/139
45751435000106-1-000113/2023,,2023,113,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-11-06T11:36:41.896016,2023-12-19T11:41:35.229968,,Paulínia,SP,Municipal,Edital nº 256/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS E INSUMOS HOSPITALARES,/compras/45751435000106/2023/113
45751435000106-1-000076/2023,,2023,76,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-09-18T15:16:54.747033,2024-01-17T15:35:53.590568,,Paulínia,SP,Municipal,Edital nº 230/2023,REGISTRO DE PREÇOS PARA COMPRA DE MEDICAMENTOS ANTI-INFECCIOSOS,/compras/45751435000106/2023/76
45751435000106-1-000171/2023,,2023,171,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Edital,Divulgada no PNCP,False,2023-12-15T11:50:04.942026,2024-03-05T15:07:35.429831,,Paulínia,SP,Municipal,Edital nº 302/2023,REGISTRO DE PREÇOS PARA AQUISIÇÃO DE MATERIAIS MÉDICOS HOSPITALARES,/compras/45751435000106/2023/171
45751435000106-1-000003/2023,,2023,3,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-05-02T09:57:13.977081,2023-05-05T16:19:14.684538,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 9145/2023,Contratação de empresa especializada para prestação de serviços de manejo de pombos.,/compras/45751435000106/2023/3
45751435000106-1-000020/2023,,2023,20,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Aviso de Contratação Direta,Divulgada no PNCP,False,2023-05-26T10:31:56.690957,2023-06-19T16:14:27.590257,,Paulínia,SP,Municipal,Aviso de Contratação Direta nº 7979/2023,INSTALAÇÃO DE DIVISÓRIA NAVAL EUCATEX COM ESQUADRIAS METÁLICAS E PORTAS COMPLETAS.,/compras/45751435000106/2023/20
