numero_controle_pncp,numero,ano,numero_sequencial,orgao_cnpj,orgao_nome,unidade_nome,modalidade_licitacao_nome,tipo_contrato_nome,tipo_nome,situacao_nome,cancelado,data_publicacao_pncp,data_atualizacao_pncp,data_assinatura,data_inicio_vigencia,data_fim_vigencia,valor_global,fonte_orcamentaria_nome,exigencia_conteudo_nacional,permite_adesao,possui_emenda_parlamentar,municipio_nome,uf,esfera_nome,poder_nome,title,description,item_url
45751435000106-2-000120/2024,,2024,120,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-07-26T13:48:47.059093,2024-07-26T13:49:23.936800,2024-07-26,2024-07-26,2024-07-26,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 373/2024,AQUISIÇÃO DE NUTRIÇÃO PARENTERAL PROLONGADA,/contratos/45751435000106/2024/120
45751435000106-2-000176/2024,,2024,176,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T12:07:03.467936,2024-08-27T12:07:12.929247,2024-08-27,2024-08-27,2025-02-21,55389.6,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 443/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/176
45751435000106-2-000177/2024,,2024,177,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T12:23:40.757348,2024-08-27T12:23:47.655445,2024-08-27,2024-08-27,2025-02-21,228436.2,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 445/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/177
45751435000106-2-000179/2024,,2024,179,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T13:14:19.794074,2024-08-27T13:14:30.959018,2024-08-27,2024-08-27,2025-02-21,18783.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 447/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/179
45751435000106-2-000180/2024,,2024,180,45751435000106,MUNICIPIO DE PAULINIA,Prefeitura Do Município De Paulínia,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-08-27T13:15:39.894384,2024-08-27T13:15:49.645198,2024-08-27,2024-08-27,2025-02-21,52940.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 448/2024,AQUISIÇÃO EMERGENCIAL DE MEDICAMENTOS,/contratos/45751435000106/2024/180
45751435000106-2-000220/2024,,2024,220,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-09-19T15:50:36.290942,2024-09-19T15:50:59.441704,2024-09-19,2024-09-19,2025-09-19,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 496/2024,AQUISIÇÃO DE MOBILIÁRIOS DE ESCRITÓRIO,/contratos/45751435000106/2024/220
45751435000106-2-000223/2024,,2024,223,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-09-19T16:32:09.540771,2024-09-19T16:32:31.321488,2024-09-19,2024-09-19,2025-09-19,0.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 499/2024,AQUISIÇÃO DE MOBILIÁRIOS DE ESCRITÓRIO,/contratos/45751435000106/2024/223
45751435000106-2-000245/2024,,2024,245,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-10-03T10:12:03.752001,2024-10-03T10:13:01.924516,2024-09-26,2024-09-26,2024-12-26,2400.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 507/2024,AQUISIÇÃO DE ELETRODOMÉSTICOS,/contratos/45751435000106/2024/245
45751435000106-2-000270/2024,,2024,270,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Dispensa,Contrato (termo inicial),Ato que autoriza a Contratação Direta,Divulgada no PNCP,False,2024-11-05T15:19:32.560738,2024-11-05T15:19:53.097212,2024-11-05,2024-11-05,2025-11-04,508200.0,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 553/2024,AQUISIÇÃO DE CONTRASTE RADIOLOGICO PARA TOMOGRAFIA.,/contratos/45751435000106/2024/270
45751435000106-2-000325/2024,,2024,325,45751435000106,MUNICIPIO DE PAULINIA,MUNICIPIO DE PAULINIA,Pregão - Eletrônico,Contrato (termo inicial),Edital,Divulgada no PNCP,False,2024-12-10T10:37:26.534427,2024-12-10T10:37:26.534427,2024-12-10,2024-12-10,2025-12-09,281.76,,False,,,Paulínia,SP,Municipal,Não se aplica,Contrato nº 619/2024,AQUISIÇÃO DE MOBILIÁRIOS HOSPITALARES,/contratos/45751435000106/2024/325
