unidade_gestora,natureza_receita,conta_contabil,descricao_receita,data_movimentacao,operacao,valor,nome_banco,id,ano,municipio,entidade,fonte
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.001 ,ASMUP                                             ,15/01/2025 00:00,ARRECADACAO         ,"32,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166741,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.001 ,ASMUP                                             ,15/01/2025 00:00,ARRECADACAO         ,"32,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166747,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.001 ,ASMUP                                             ,15/01/2025 00:00,ARRECADACAO         ,"32,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166754,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.001 ,ASMUP                                             ,15/01/2025 00:00,ARRECADACAO         ,"32,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166769,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.001 ,ASMUP                                             ,15/01/2025 00:00,ARRECADACAO         ,"32,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166772,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,15/01/2025 00:00,ARRECADACAO         ,"48,73",BANCO DO BRASIL (APLICAÇÃO)                       ,166738,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,15/01/2025 00:00,ARRECADACAO         ,"128,36",BANCO DO BRASIL (APLICAÇÃO)                       ,166742,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,15/01/2025 00:00,ARRECADACAO         ,"27,12",BANCO DO BRASIL (APLICAÇÃO)                       ,166767,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,15/01/2025 00:00,ARRECADACAO         ,"27,12",BANCO DO BRASIL (APLICAÇÃO)                       ,166779,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,29/01/2025 00:00,ARRECADACAO         ,"128.751,78",BANCO DO BRASIL (APLICAÇÃO)                       ,167734,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/01/2025 00:00,ARRECADACAO         ,"841,14",BANCO DO BRASIL (APLICAÇÃO)                       ,166060,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.99.003 ,DIVERSOS                                          ,29/01/2025 00:00,ARRECADACAO         ,"1.172,99",BANCO DO BRASIL (APLICAÇÃO)                       ,167730,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.007 ,EMPRÉSTIMO CONSIGNADO SANTANDER (PLANO ADMINISTRAT,29/01/2025 00:00,ARRECADACAO         ,"1.051,64",BANCO DO BRASIL (APLICAÇÃO)                       ,167721,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,15/01/2025 00:00,ARRECADACAO         ,"134,24",BANCO DO BRASIL (APLICAÇÃO)                       ,166746,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,15/01/2025 00:00,ARRECADACAO         ,"148,90",BANCO DO BRASIL (APLICAÇÃO)                       ,166750,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.10.001 ,DEPÓSITO JUDICIAL                                 ,29/01/2025 00:00,ARRECADACAO         ,"1.980,14",BANCO DO BRASIL (APLICAÇÃO)                       ,167718,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,4.5.1.1.2.02.00.000 ,REPASSE RECEBIDO                                  ,02/01/2025 00:00,ESTORNO DE ARRECADAC,"-2.900.000,00",BANCO DO BRASIL (APLICAÇÃO)                       ,166941,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.04.99.002 ,RENDIMENTOS DE APLICAÇÕES FINANCEIRAS             ,02/01/2025 00:00,ESTORNO DE ARRECADAC,"-16.911,02",BANCO DO BRASIL (APLICAÇÃO)                       ,168189,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,03/02/2025 00:00,ARRECADACAO         ,"693,47",BANCO DO BRASIL (APLICAÇÃO)                       ,168197,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,26/02/2025 00:00,ARRECADACAO         ,"22.630,87",BANCO DO BRASIL (APLICAÇÃO)                       ,173285,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.13.002 ,MENSALIDADE SINDICATO                             ,26/02/2025 00:00,ARRECADACAO         ,"55,00",BANCO DO BRASIL (APLICAÇÃO)                       ,173282,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.005 ,SAMARITANO                                        ,26/02/2025 00:00,ARRECADACAO         ,"5.706,05",BANCO DO BRASIL (APLICAÇÃO)                       ,173294,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,10/02/2025 00:00,ARRECADACAO         ,"5.117,54",BANCO DO BRASIL (APLICAÇÃO)                       ,171818,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,11/02/2025 00:00,ARRECADACAO         ,"37,80",BANCO DO BRASIL (APLICAÇÃO)                       ,171820,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,20/02/2025 00:00,ARRECADACAO         ,"14,77",BANCO DO BRASIL (APLICAÇÃO)                       ,173268,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,24/02/2025 00:00,ARRECADACAO         ,"13,98",BANCO DO BRASIL (APLICAÇÃO)                       ,173272,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.5.01.08.001 ,I.S.S.Q.N. - RETENÇÃO PESSOA JURIDICA             ,24/02/2025 00:00,ARRECADACAO         ,"25,00",BANCO DO BRASIL (APLICAÇÃO)                       ,173273,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.15.001 ,EMPRÉSTIMO BANCO DO BRASIL                        ,26/02/2025 00:00,ARRECADACAO         ,"9.719,14",BANCO DO BRASIL (APLICAÇÃO)                       ,173290,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.10.001 ,DEPÓSITO JUDICIAL                                 ,26/02/2025 00:00,ARRECADACAO         ,"2.433,36",BANCO DO BRASIL (APLICAÇÃO)                       ,173288,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.007 ,UNIMED                                            ,26/02/2025 00:00,ARRECADACAO         ,"10.082,01",BANCO DO BRASIL (APLICAÇÃO)                       ,173295,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.008 ,UNIODONTO CAMPINAS                                ,26/02/2025 00:00,ARRECADACAO         ,"630,72",BANCO DO BRASIL (APLICAÇÃO)                       ,173286,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.1.01.11.008 ,UNIODONTO CAMPINAS                                ,26/02/2025 00:00,ARRECADACAO         ,"688,85",BANCO DO BRASIL (APLICAÇÃO)                       ,173296,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.001 ,IRRF - FOLHA DE PAGAMENTO                         ,26/02/2025 00:00,ARRECADACAO         ,"146.732,86",BANCO DO BRASIL (APLICAÇÃO)                       ,173293,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,10/02/2025 00:00,ARRECADACAO         ,"204,00",BANCO DO BRASIL (APLICAÇÃO)                       ,171816,2025,paulinia,camara,SMARAPD Câmara de Paulínia
CÂMARA DO MUNICÍPIO DE PAULÍNIA, ,2.1.8.8.3.01.04.002 ,IRRF - RETENÇÃO PESSOA JURIDICA                   ,12/02/2025 00:00,ARRECADACAO         ,"9.671,21",BANCO DO BRASIL (APLICAÇÃO)                       ,171823,2025,paulinia,camara,SMARAPD Câmara de Paulínia
