municipio,orgao,ano,mes,mes_nome,total_mensal,arquivo_origem,fonte,tipo
sorocaba,Urbes,2017,1,Jan,21409.25,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,2,Fev,12478.4,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,3,Mar,24000.42,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,4,Abr,10976.12,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,5,Mai,28353.32,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,6,Jun,22258.45,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,7,Jul,31313.99,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,8,Ago,17142.24,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,9,Set,12648.28,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,10,Out,13627.84,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,11,Nov,19552.89,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2017,12,Dez,12395.21,relacao_mensal_despesas_2017_20180618123014lei8890-2017.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,1,Jan,12235.75,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,2,Fev,15879.84,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,3,Mar,18977.81,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,4,Abr,7752.91,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,5,Mai,31935.06,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,6,Jun,18196.03,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,7,Jul,16645.41,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,8,Ago,20205.3,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,9,Set,10791.87,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,10,Out,5103.98,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,11,Nov,15623.09,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2018,12,Dez,17560.92,relacao_mensal_despesas_2018_20180509145602lei8890.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,1,Jan,10252.16,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,2,Fev,9789.96,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,3,Mar,7728.12,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,4,Abr,23526.73,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,5,Mai,10314.5,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,6,Jun,18040.16,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,7,Jul,6161.14,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,8,Ago,14881.11,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,9,Set,12868.07,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,10,Out,14287.36,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,11,Nov,8689.41,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2019,12,Dez,6838.46,relacao_mensal_despesas_2019_20190211121523lei8890-v2.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,1,Jan,13348.28,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,2,Fev,17149.13,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,3,Mar,14944.21,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,4,Abr,14387.68,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,5,Mai,17367.57,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,6,Jun,12133.66,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,7,Jul,11765.42,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,8,Ago,15184.67,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,9,Set,11699.53,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,10,Out,14529.79,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,11,Nov,14573.66,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2020,12,Dez,9440.56,relacao_mensal_despesas_2020_lei8890_2020.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,1,Jan,18869.69,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,2,Fev,11055.5,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,3,Mar,18699.38,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,4,Abr,16813.82,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,5,Mai,10033.21,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,6,Jun,15514.09,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,7,Jul,19038.89,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,8,Ago,21111.12,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,9,Set,19042.38,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,10,Out,20167.44,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,11,Nov,16260.52,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2021,12,Dez,19207.37,relacao_mensal_despesas_2021_lei8890_2021.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,1,Jan,15404.35,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,2,Fev,14284.93,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,3,Mar,16228.76,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,4,Abr,24294.53,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,5,Mai,13052.54,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,6,Jun,26608.29,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,7,Jul,13007.85,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,8,Ago,35803.92,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,9,Set,8470.11,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,10,Out,11704.85,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,11,Nov,13918.88,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
sorocaba,Urbes,2022,12,Dez,11272.15,relacao_mensal_despesas_2022_lei8890_2022.pdf,https://www.urbes.com.br/transparencia,relacao_mensal_despesas_lei8890
