coletado_em,categoria,subcategoria,ano,periodo,titulo,url_pagina,url_arquivo,arquivo_raw,tamanho_bytes,status_download
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-06,Balancete Junho/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Junho2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-06_balanco_patrimonial_junho2023.pdf,8326,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-07,Balancete Julho/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Julho2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-07_balanco_patrimonial_julho2023.pdf,8330,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-08,Balancete Agosto/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Agosto2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-08_balanco_patrimonial_agosto2023.pdf,8341,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-09,Balancete Setembro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Setembro2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-09_balanco_patrimonial_setembro2023.pdf,8330,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-10,Balancete Outubro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Outubro2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-10_balanco_patrimonial_outubro2023.pdf,8346,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-11,Balancete Novembro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Novembro2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-11_balanco_patrimonial_novembro2023.pdf,8457,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2023,2023-12,Balancete Dezembro/2023,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Dezembro2023.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2023-12_balanco_patrimonial_dezembro2023.pdf,8454,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-01,Balancete Janeiro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Jan2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-01_balanco_patrimonial_jan2022.pdf,8178,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-02,Balancete Fevereiro/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Fev2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-02_balanco_patrimonial_fev2022.pdf,8183,baixado
2026-05-23T14:39:31,orcamento,balancete_patrimonial,2022,2022-03,Balancete Março/2022,https://www.urbes.com.br/transparencia/informacoes-orcamentarias,https://www.urbes.com.br/uploads/Balanco_Patrimonial_Mar2022.pdf,data/raw/sorocaba/transporte/urbes/transparencia/orcamento/balancete_patrimonial/balancete_patrimonial_2022-03_balanco_patrimonial_mar2022.pdf,8195,baixado
