ano_referencia,mes_referencia,municipio,orgao,secretaria_portal,cargo,quantidade_funcionarios,salario_base_brl,fonte_categoria,fonte_arquivo,fonte_tabela,publicado_em,cobertura,observacao
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO RECURSOS HUMANOS,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO TRAT.AGUA,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DEPTO TRAT.ESGOTO,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DPTO COMERCIAL ATEND.CONSUMIDOR,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE DPTO JURIDICO,1,12156.74,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S CONTABILIDADE,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S DE PATRIMONIO IMOBILIARIO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S DE TESOURARIA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S EXEC FISCAL E CONTENCIOSO GERAL,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S FISCALIZACAO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.ALVENARIA/PROPRIOS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.ATENDIMENTO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,"CHEFE S.CADAST,PGTO/BENEFICIOS",1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.CONT.REC SUPRE,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.CONTR.OP.E LOGISTICO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.CONTR.OP.ETAS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.CONTR.OP.ETES,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.DE DIVIDA ATIVA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.ELETRICA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.ESPEC.QUAL.INSP MATERIAIS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,"CHEFE S.GALERIAS,CORREGOS E CANAIS",1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.GERENCIAMENTO E CAPTACAO RECURSOS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.HIDROMETRIA PITOMETRIA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.LICIT SUPRIM CONTRATOS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.MANUT.ESGOTO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.MANUTENCAO AGUA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.MAT. E ALMOX.E ESTRATEGIAS DE COMPRAS,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.MECANICA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.PROT GER.GEST DOCUMENTAL,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.QUALIDADE,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.REDE E LIG AGUA,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.REDE E LIG ESGOTO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.REPAROS E PAVIMENTACAO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.TECNOLOGIA DA INFORMACAO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE S.TOPOGRAFIA E CADASTRO,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CHEFE SEG.SAUDE OCUP TREIN,1,9133.11,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CONTADOR I,3,5764.40,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
2026,05,sorocaba,Servico Autonomo de Agua e Esgoto de Sorocaba,Servico Autonomo de Agua e Esgoto,CONTROLADOR(A)INTERNO(A),1,15425.38,pessoal,C:/Omega/Profissional/Repositorios_Git_Projetos/anatomia-do-gasto/data/extracted/sorocaba/saae/tdaportal/20260529_091316/pessoal/tabela_32.csv,tabela_32.csv,2026-05-29,amostra_portal_100_de_139,agregado por cargo; sem nome ou matricula
