ano,mes,vereador,aluguel_maquina,combustivel,material_escritorio,postagem,total,reembolso
2023,7,JOÃO DONIZETI SILVESTRE,584.77,280.11,277.79,225.95,1368.62,
2023,7,LUÍS SANTOS PEREIRA FILHO,489.06,159.52,,,648.58,
2023,7,PÉRICLES REGIS MENDONÇA DE LIMA,,161.75,84.28,,246.03,
2023,7,RODRIGO PIVETA BERNO,488.52,259.44,,19.55,767.51,
2023,7,SALATIEL DOS SANTOS HERGESEL,142.99,151.40,69.48,,363.87,
2023,7,ÍTALO GABRIEL MOREIRA,,199.53,71.27,8.15,278.95,654.70
2023,8,ANTÔNIO CARLOS SILVANO JUNIOR,139.99,271.49,53.58,660.00,1125.06,
2023,8,CAIO DE OLIVEIRA EGÊA SILVEIRA,400.85,529.06,272.64,,1202.55,
2023,8,CRISTIANO ANUNCIAÇÃO DOS PASSOS,128.47,257.82,542.72,232.09,1161.10,
2023,8,CÍCERO JOÃO DA SILVA,,375.32,646.17,,1021.49,
2023,8,DYLAN ROBERTO VIANA DANTAS,293.92,162.95,142.31,,599.18,
2023,8,FAUSTO SALVADOR PERES,306.64,314.50,264.95,,886.09,
2023,8,FERNANDA SCHLIC GARCIA,,188.92,99.06,,287.98,
2023,8,FERNANDO ALVES LISBOA DINI,331.78,275.74,215.10,2.45,825.07,
2023,8,FRANCISCO FRANÇA DA SILVA,135.19,195.37,112.75,,443.31,
2023,8,FÁBIO SIMOA MENDES DO CARMO LEITE,840.75,218.06,559.39,,1618.20,
2023,8,GERVINO CLÁUDIO GONÇALVES,593.96,213.95,33.15,,841.06,
2023,8,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,8,IARA BERNARDI,862.24,217.31,196.47,,1276.02,
2023,8,JOSÉ VINICIUS CAMPOS AITH,,198.79,73.83,,272.62,
2023,8,JOÃO DONIZETI SILVESTRE,794.43,308.62,262.18,85.00,1450.23,
2023,8,LUÍS SANTOS PEREIRA FILHO,485.83,157.27,68.95,,712.05,
2023,8,PÉRICLES REGIS MENDONÇA DE LIMA,132.99,225.36,,,358.35,
2023,8,RODRIGO PIVETA BERNO,571.75,227.18,139.50,,938.43,
2023,8,SALATIEL DOS SANTOS HERGESEL,130.44,154.33,75.83,,360.60,
2023,8,ÍTALO GABRIEL MOREIRA,148.44,184.54,245.11,38.60,616.69,278.95
2023,9,ANTÔNIO CARLOS SILVANO JUNIOR,298.24,110.55,1.51,623.92,1034.22,
2023,9,CAIO DE OLIVEIRA EGÊA SILVEIRA,293.39,205.02,163.94,,662.35,
2023,9,CRISTIANO ANUNCIAÇÃO DOS PASSOS,341.08,134.37,146.02,235.84,857.31,
2023,9,CÍCERO JOÃO DA SILVA,75.08,107.26,210.09,,392.43,
2023,9,DYLAN ROBERTO VIANA DANTAS,131.39,107.48,,,238.87,
2023,9,FAUSTO SALVADOR PERES,442.81,135.26,182.25,8.04,768.36,
2023,9,FERNANDA SCHLIC GARCIA,139.53,149.33,209.41,2.45,500.72,
2023,9,FERNANDO ALVES LISBOA DINI,131.81,155.79,279.46,,567.06,
2023,9,FRANCISCO FRANÇA DA SILVA,,134.11,28.50,38.39,201.00,
2023,9,FÁBIO SIMOA MENDES DO CARMO LEITE,462.34,115.87,,21.65,599.86,
2023,9,GERVINO CLÁUDIO GONÇALVES,442.79,107.17,,,549.96,
2023,9,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,9,IARA BERNARDI,570.69,268.82,144.14,,983.65,
2023,9,JOSÉ VINICIUS CAMPOS AITH,,175.53,,,175.53,
2023,9,JOÃO DONIZETI SILVESTRE,645.99,158.71,250.52,140.00,1195.22,
2023,9,LUÍS SANTOS PEREIRA FILHO,482.86,95.62,103.53,,682.01,
2023,9,PÉRICLES REGIS MENDONÇA DE LIMA,,97.93,105.49,,203.42,
2023,9,RODRIGO PIVETA BERNO,536.72,120.56,262.34,,919.62,
2023,9,SALATIEL DOS SANTOS HERGESEL,249.80,88.35,,,338.15,
2023,9,ÍTALO GABRIEL MOREIRA,153.35,120.11,143.04,3.40,419.90,616.69
2023,10,ANTÔNIO CARLOS SILVANO JUNIOR,133.43,433.02,434.88,,1001.33,
2023,10,CAIO DE OLIVEIRA EGÊA SILVEIRA,390.53,597.41,368.80,,1356.74,
2023,10,CRISTIANO ANUNCIAÇÃO DOS PASSOS,264.73,411.81,148.28,211.44,1036.26,
2023,10,CÍCERO JOÃO DA SILVA,,847.03,258.87,,1105.90,
2023,10,DYLAN ROBERTO VIANA DANTAS,306.20,283.90,,,590.10,
2023,10,FAUSTO SALVADOR PERES,445.17,558.78,,,1003.95,
2023,10,FERNANDA SCHLIC GARCIA,,293.41,,,293.41,
2023,10,FERNANDO ALVES LISBOA DINI,134.85,467.00,224.80,,826.65,
2023,10,FRANCISCO FRANÇA DA SILVA,,358.25,317.37,,675.62,
2023,10,FÁBIO SIMOA MENDES DO CARMO LEITE,305.99,609.63,172.02,4.75,1092.39,
2023,10,GERVINO CLÁUDIO GONÇALVES,583.57,356.12,,,939.69,
2023,10,HÉLIO MAURO SILVA BRASILEIRO,,,,,,
2023,10,IARA BERNARDI,591.87,665.18,190.62,,1447.67,
