dataset,ano,orgao_cnpj,orgao_nome,unidade_nome,controle_pncp,numero,objeto,valor,situacao,data_publicacao,data_assinatura,vigencia_inicio,vigencia_fim
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000025/2023,,"Mesas de reunião com tampo retangular de madeira revestida em laminado melamínico com 25 mm de espessura, cor Dueto  Moro ou Carvalho Hanover em alumínio polido ou aço cromado. Caso a estrutura não seja totalmente em aço cromado ou  alumínio polido a parte superior deverá ser na cor cinza ou preta, ",,Divulgada no PNCP,2023-06-01,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000026/2023,,"Contratação de empresa especializada em fornecimento e instalação de estrutura de iluminação outdoor para as dependências do Autódromo José Carlos Pace (Interlagos), com fornecimento de mão de obra, materiais e equipamentos necessários.",,Divulgada no PNCP,2023-06-06,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000027/2023,,Aquisição de Capachos conforme as especificação no edital em anexo.,,Divulgada no PNCP,2023-06-12,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000028/2023,,"Aquisição de material permanente, poltronas largura mínima 70 cm, poltronas largura mínima 90 cm, sofás 03 (três) lugares largura mínima entre 220 cm e 240 cm, sofás 03 (três) lugares largura mínima 180 cm e 210 cm e mesa de canto, conforme especificações do Termo de Referência.",,Divulgada no PNCP,2023-06-21,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000029/2023,,"Contratação de empresa especializada em fornecimento e instalação de estrutura de iluminação outdoor para as dependências do Autódromo José Carlos Pace (Interlagos), com fornecimento de mão de obra, materiais e equipamentos necessários, em conformidade com o Anexo I – Termo de Referência do Edital.",,Divulgada no PNCP,2023-06-27,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000030/2023,,Aquisição de periféricos e componentes de computador. Qualquer divergência entre as especificações contidas no Termo de Referência e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Termo de Referência.,,Divulgada no PNCP,2023-06-27,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000031/2023,,"Aquisição de divisórias e portas de vidro temperado 10 mm para divisão das Secretarias do 6º ao 12º andar do Edifício Conde Matarazzo, conforme especificações e quantidades do Termo de Referência.",,Divulgada no PNCP,2023-06-28,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000032/2023,,Aquisição de equipamentos para produção audiovisual.Qualquer divergência entre as especificações contidas no Termo de  Referência e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Termo de Referência.,,Divulgada no PNCP,2023-06-28,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000033/2023,,"Trata o presente de aquisição da materiais permanentes, Conjunto de Mesas de Refeitório 8 lugares com 8 cadeiras livres, Mesa de trabalho em L, Mesa baia operacional dupla, Gaveteiro Volante 04 Gavetas, visando atender as necessidades de demandas das Secretarias do Governo Municipal, conforme quanti",,Divulgada no PNCP,2023-07-05,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000034/2023,,Aquisição de três microfones de mesa portátil com tecnologia Bluetooth. Qualquer divergência entre as especificações contidas no Termo de Referência e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Termo de Referência.,,Divulgada no PNCP,2023-07-07,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000035/2023,,Aquisição de Máquina de Lavar Roupas e Ferro de Passar. Qualquer divergência entre as especificações contidas no Termo de Referência e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Termo de Referência.,,Divulgada no PNCP,2023-07-10,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000036/2023,,"Aquisição de uma pia e gabinete de cozinha para compor a sala de apoio à amamentação do Edifício Matarazzo, no 3º andar. Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso ",,Divulgada no PNCP,2023-07-13,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000037/2023,,"Aquisição de Licenças de Softwares, conforme especificações e quantidades contidas no Termo de Referência, anexo I do Edital.   (Qualquer divergência entre as especificações contidas no Anexo I deste Edital e as constantes no CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Anexo ",,Divulgada no PNCP,2023-07-27,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000038/2023,,Aquisição de 130 (cento e trinta) unidades de Webcam Full HD.,,Divulgada no PNCP,2023-08-10,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000039/2023,,"Contratação de empresa especializada em locação de equipamentos profissionais de som, vídeo e iluminação e a prestação de serviço técnico especializado para eventos no Edifício Matarazzo, sito à Rua Dr. Falcão Filho n.º 56, Centro São Paulo, conforme especificações do Termo de referência, anexo I do",,Divulgada no PNCP,2023-08-11,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000040/2023,,Aquisição de materiais de escritório imprescindível para suprir às necessidades do almoxarifado de SGM.,,Divulgada no PNCP,2023-08-15,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000041/2023,,Aquisição de materiais específicos para atender as unidades solicitantes do Gabinete do Prefeito.  Qualquer divergência entre as especificações contidas no Aviso de dispensa eletrônica e as constantes no  CATMAT/CATSER do COMPRASNET prevalecerá para todos os efeitos as do Aviso de dispensa eletrônic,,Divulgada no PNCP,2023-08-17,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000042/2023,,"Trata o presente de contratação de empresa especializada em Outsourcing de Impressão, a partir de impressoras, multifuncionais e scanner a serem contratados por lote único. Incluindo Instalação, suporte técnico e manutenção on-site (incluindo peças), além do fornecimento de insumos (toner, cartucho,",,Divulgada no PNCP,2023-08-21,,,
compras,2023,46395000000139,MUNICIPIO DE SAO PAULO,PMSP - SECRETARIA DO GOVERNO MUNICIPAL,46395000000139-1-000043/2023,,"Aquisição de 250 (duzentos e cinquenta) kits de computadores novos e sem uso, com serviços de assistência técnica integral de 48 (quarenta e oito) meses, para utilização em SGM no Edifício Matarazzo, conforme especificações do Termo de referência do Edital. Qualquer divergência entre as especificaçõ",,Divulgada no PNCP,2023-09-04,,,
