exercicio,anexo,cod_conta,conta,coluna,valor,instituicao,uf
2020,DCA-Anexo I-AB,P1.2.3.8.1.00.00,"1.2.3.8.1.00.00 - (-) Depreciação, Exaustão e Amortização Acumuladas - Consolidação",31/12/2020,106333076.14,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.8.1.01.00,1.2.3.8.1.01.00 - (-) Depreciação Acumulada - Bens Móveis,31/12/2020,62312479.11,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.8.1.02.00,1.2.3.8.1.02.00 - (-) Depreciação Acumulada - Bens Imóveis,31/12/2020,44020597.03,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.4.0.0.00.00,1.2.4.0.0.00.00 - Intangível,31/12/2020,1000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.4.1.0.00.00,1.2.4.1.0.00.00 - Softwares,31/12/2020,1000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.4.1.1.00.00,1.2.4.1.1.00.00 - Softwares - Consolidação,31/12/2020,1000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.0.0.0.0.00.00,2.0.0.0.0.00.00 - Passivo e Patrimônio Liquido,31/12/2020,5517693316.54,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.0.0.0.00.00,2.1.0.0.0.00.00 - Passivo Circulante,31/12/2020,59417003.63,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.0.0.00.00,"2.1.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Curto Prazo",31/12/2020,10194016.71,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.1.0.00.00,2.1.1.1.0.00.00 - Pessoal a Pagar,31/12/2020,452860.33,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.1.1.00.00,2.1.1.1.1.00.00 - Pessoal a Pagar - Consolidação,31/12/2020,452860.33,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.2.0.00.00,2.1.1.2.0.00.00 - Benefícios Previdenciários a Pagar,31/12/2020,1450370.88,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.2.1.00.00,2.1.1.2.1.00.00 - Benefícios Previdenciários a Pagar - Consolidação,31/12/2020,1450370.88,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.3.0.00.00,2.1.1.3.0.00.00 - Benefícios Assistenciais a Pagar,31/12/2020,1098310.18,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.3.1.00.00,2.1.1.3.1.00.00 - Benefícios Assistenciais a Pagar - Consolidação,31/12/2020,1098310.18,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.4.0.00.00,2.1.1.4.0.00.00 - Encargos Sociais a Pagar,31/12/2020,7192475.32,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.4.1.00.00,2.1.1.4.1.00.00 - Encargos Sociais a Pagar-Consolidação,31/12/2020,254937.1,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.4.2.00.00,2.1.1.4.2.00.00 - Encargos Sociais a Pagar - Intra OFSS,31/12/2020,5670137.39,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.1.4.3.00.00,2.1.1.4.3.00.00 - Encargos Sociais a Pagar - Inter OFSS - União,31/12/2020,1267400.83,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.3.0.0.00.00,2.1.3.0.0.00.00 - Fornecedores e Contas a Pagar a Curto Prazo,31/12/2020,2083285.4,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.3.1.0.00.00,2.1.3.1.0.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo,31/12/2020,2083285.4,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.3.1.1.00.00,2.1.3.1.1.00.00 - Fornecedores e Contas a Pagar Nacionais a Curto Prazo - Consolidação,31/12/2020,2083285.4,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.4.0.0.00.00,2.1.4.0.0.00.00 - Obrigações Fiscais a Curto Prazo,31/12/2020,46993.59,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.4.1.0.00.00,2.1.4.1.0.00.00 - Obrigações Fiscais a Curto Prazo com a União,31/12/2020,46993.59,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.4.1.1.00.00,2.1.4.1.1.00.00 - Obrigações Fiscais a Curto Prazo com a União - Consolidação,31/12/2020,46993.59,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.7.0.0.00.00,2.1.7.0.0.00.00 - Provisões a Curto Prazo,31/12/2020,290000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.7.9.0.00.00,2.1.7.9.0.00.00 - Outras Provisões a Curto Prazo,31/12/2020,290000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.7.9.1.00.00,2.1.7.9.1.00.00 - Outras Provisões a Curto Prazo - Consolidação,31/12/2020,290000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.0.0.00.00,2.1.8.0.0.00.00 - Demais Obrigações a Curto Prazo,31/12/2020,46802707.93,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.8.0.00.00,2.1.8.8.0.00.00 - Valores Restituíveis,31/12/2020,44723722.11,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.8.1.00.00,2.1.8.8.1.00.00 - Valores Restituíveis - Consolidação,31/12/2020,37754424.73,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.8.2.00.00,2.1.8.8.2.00.00 - Valores Restituíveis - Intra OFSS,31/12/2020,6969297.38,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.9.0.00.00,2.1.8.9.0.00.00 - Outras Obrigações a Curto Prazo,31/12/2020,2078985.82,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.9.1.00.00,2.1.8.9.1.00.00 - Outras Obrigações a Curto Prazo - Consolidação,31/12/2020,87189.9,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.1.8.9.2.00.00,2.1.8.9.2.00.00 - Outras Obrigações a Curto Prazo - Intra OFSS,31/12/2020,1991795.92,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.0.0.0.00.00,2.2.0.0.0.00.00 - Passivo não-Circulante,31/12/2020,1970090594.22,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.0.0.00.00,"2.2.1.0.0.00.00 - Obrigações Trabalhistas, Previdenciárias e Assistenciais a Pagar a Longo Prazo",31/12/2020,8370898.19,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.1.0.00.00,2.2.1.1.0.00.00 - Pessoal a Pagar,31/12/2020,7990502.93,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.1.1.00.00,2.2.1.1.1.00.00 - Pessoal a Pagar - Consolidação,31/12/2020,7990502.93,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.2.0.00.00,2.2.1.2.0.00.00 - Benefícios Previdenciários a Pagar,31/12/2020,346452.22,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.2.1.00.00,2.2.1.2.1.00.00 - Benefícios Previdenciários a Pagar - Consolidação,31/12/2020,346452.22,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.4.0.00.00,2.2.1.4.0.00.00 - Encargos Sociais a Pagar,31/12/2020,33943.04,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.1.4.3.00.00,2.2.1.4.3.00.00 - Encargos Sociais a Pagar - Inter OFSS - União,31/12/2020,33943.04,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.0.0.00.00,2.2.2.0.0.00.00 - Empréstimos e Financiamentos a Longo Prazo,31/12/2020,214163448.93,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.1.0.00.00,2.2.2.1.0.00.00 - Empréstimos a Longo Prazo - Interno,31/12/2020,132998440.16,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.1.1.00.00,2.2.2.1.1.00.00 - Empréstimos a Longo Prazo - Interno - Consolidação,31/12/2020,124749378.05,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.1.3.00.00,2.2.2.1.3.00.00 - Empréstimos a Longo Prazo - Interno - Inter OFSS - União,31/12/2020,8249062.11,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.2.0.00.00,2.2.2.2.0.00.00 - Empréstimos a Longo Prazo - Externo,31/12/2020,9250290.19,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.2.1.00.00,2.2.2.2.1.00.00 - Empréstimos a Longo Prazo - Externo Consolidação,31/12/2020,9250290.19,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.3.0.00.00,2.2.2.3.0.00.00 - Financiamentos a Longo Prazo - Interno,31/12/2020,71914718.58,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.2.3.1.00.00,2.2.2.3.1.00.00 - Financiamentos a Longo Prazo - Interno - Consolidação,31/12/2020,71914718.58,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.3.0.0.00.00,2.2.3.0.0.00.00 - Fornecedores e Contas a Pagar a Longo Prazo,31/12/2020,60377702.26,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.3.1.0.00.00,2.2.3.1.0.00.00 - Fornecedores e Contas a Pagar Nacionais a Longo Prazo,31/12/2020,60377702.26,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.3.1.1.00.00,2.2.3.1.1.00.00 - Fornecedores e Contas a Pagar Nacionais a Longo Prazo - Consolidação,31/12/2020,60377702.26,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.0.0.00.00,2.2.7.0.0.00.00 - Provisões a Longo Prazo,31/12/2020,1661126968.99,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.1.0.00.00,2.2.7.1.0.00.00 - Provisão para Riscos Trabalhistas a Longo Prazo,31/12/2020,5052946.13,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.1.1.00.00,2.2.7.1.1.00.00 - Provisão para Riscos Trabalhistas a Longo Prazo - Consolidação,31/12/2020,5052946.13,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.0.00.00,2.2.7.2.0.00.00 - Provisões Matemáticas Previdenciárias a Longo Prazo,31/12/2020,1656074022.86,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.1.00.00,2.2.7.2.1.00.00 - Provisões Matemáticas Previdenciárias a Longo Prazo - Consolidação,31/12/2020,1656074022.86,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.1.02.00,2.2.7.2.1.02.00 - Plano Financeiro - Provisões de Benefícios a Conceder,31/12/2020,622860327.41,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.1.03.00,2.2.7.2.1.03.00 - Plano Previdenciário - Provisões de Benefícios Concedidos,31/12/2020,95685643.55,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.1.04.00,2.2.7.2.1.04.00 - Plano Previdenciário - Provisões de Benefícios a Conceder,31/12/2020,742735166.55,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.7.2.1.07.00,2.2.7.2.1.07.00 - Provisões Atuariais para Ajustes do Plano Previdenciário,31/12/2020,194792885.35,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.8.0.0.00.00,2.2.8.0.0.00.00 - Demais Obrigações a Longo Prazo,31/12/2020,26051575.85,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.8.2.0.00.00,2.2.8.2.0.00.00 - Obrigações por Danos a Terceiros a Longo Prazo,31/12/2020,22761694.51,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.8.2.1.00.00,2.2.8.2.1.00.00 - Obrigações por Danos a Terceiros a Longo Prazo - Consolidação,31/12/2020,22761694.51,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.8.9.0.00.00,2.2.8.9.0.00.00 - Outras Obrigações a Longo Prazo,31/12/2020,3289881.34,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.2.8.9.1.00.00,2.2.8.9.1.00.00 - Outras Obrigações a Longo Prazo - Consolidação,31/12/2020,3289881.34,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.0.0.0.00.00,2.3.0.0.0.00.00 - Patrimônio Liquido,31/12/2020,3488185718.69,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.1.0.0.00.00,2.3.1.0.0.00.00 - Patrimônio Social e Capital Social,31/12/2020,6800000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.1.2.0.00.00,2.3.1.2.0.00.00 - Capital Social Realizado,31/12/2020,6800000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.1.2.1.00.00,2.3.1.2.1.00.00 - Capital Social Realizado - Consolidação,31/12/2020,6800000,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P2.3.3.0.0.00.00,2.3.3.0.0.00.00 - Reservas de Capital,31/12/2020,460939.85,Prefeitura Municipal de Sorocaba - SP,SP
